Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2019 JIF
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,1873-6769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","7,561",4.201
EVOLUTIONARY COMPUTATION,EVOLUTIONARY COMPUTATION,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,226",3.933
ADVANCED ENGINEERING INFORMATICS,ADVANCED ENGINEERING INFORMATICS,1474-0346,1873-5320,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,173",3.879
Memetic Computing,Memetic Computing,1865-9284,1865-9292,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",571,3.86
Complex & Intelligent Systems,Complex & Intelligent Systems,2199-4536,2198-6053,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",278,3.791
International Journal of Machine Learning and Cybernetics,International Journal of Machine Learning and Cybernetics,1868-8071,1868-808X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,447",3.753
AUTONOMOUS ROBOTS,AUTONOMOUS ROBOTS,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,472",3.602
JOURNAL OF MACHINE LEARNING RESEARCH,JOURNAL OF MACHINE LEARNING RESEARCH,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","28,234",3.484
IEEE Transactions on Human-Machine Systems,IEEE Transactions on Human-Machine Systems,2168-2291,2168-2305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,556",3.374
APPLIED INTELLIGENCE,APPLIED INTELLIGENCE,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,732",3.325
PATTERN RECOGNITION LETTERS,PATTERN RECOGNITION LETTERS,0167-8655,1872-7344,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","13,401",3.255
IEEE INTELLIGENT SYSTEMS,IEEE INTELLIGENT SYSTEMS,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,141",3.21
Semantic Web,Semantic Web,1570-0844,2210-4968,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",836,3.182
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUTER VISION AND IMAGE UNDERSTANDING,1077-3142,1090-235X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,691",3.121
Egyptian Informatics Journal,Egyptian Informatics Journal,1110-8665,2090-4754,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",579,3.119
