Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2016 JIF
IEEE Transactions on Autonomous Mental Development,IEEE T AUTON MENT DE,1943-0604,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",347,1.638
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,0168-7433,1573-0670,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",635,1.636
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT,1370-4621,1573-773X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,153",1.62
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,1387-2532,1573-7454,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",827,1.606
Journal of Ambient Intelligence and Humanized Computing,J AMB INTEL HUM COMP,1868-5137,1868-5145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",397,1.588
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,1389-2576,1573-7632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",321,1.514
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0921-0296,1573-0409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,055",1.512
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,1469-8005,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",877,1.51
International Journal on Semantic Web and Information Systems,INT J SEMANT WEB INF,1552-6283,1552-6291,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",366,1.5
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1641-876X,2083-8492,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,139",1.42
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,0952-813X,1362-3079,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",435,1.384
IET Biometrics,IET BIOMETRICS,2047-4938,2047-4946,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",171,1.382
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL,1433-7541,1433-755X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",861,1.352
ARTIFICIAL LIFE,ARTIF LIFE,1064-5462,1530-9185,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",921,1.316
Applied Ontology,APPL ONTOL,1570-5838,1875-8533,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",206,1.296
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,0925-9902,1573-7675,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",851,1.294
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST,1064-1246,1875-8967,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,127",1.261
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INT J UNCERTAIN FUZZ,0218-4885,1793-6411,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,506",1.214
Cognitive Systems Research,COGN SYST RES,1389-0417,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",492,1.182
EXPERT SYSTEMS,EXPERT SYST,0266-4720,1468-0394,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",469,1.18
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,1875-6891,1875-6883,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",659,1.14
IEEE Transactions on Computational Intelligence and AI in Games,IEEE T COMP INTEL AI,1943-068X,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",410,1.113
Journal of Web Semantics,J WEB SEMANT,1570-8268,1873-7749,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,091",1.075
Natural Language Engineering,NAT LANG ENG,1351-3249,1469-8110,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",388,1.065
CONSTRAINTS,CONSTRAINTS,1383-7133,1572-9354,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",365,1.054
IET Image Processing,IET IMAGE PROCESS,1751-9659,1751-9667,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",793,1.044
Journal on Multimodal User Interfaces,J MULTIMODAL USER IN,1783-7677,1783-8738,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",197,1.031
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1741-2633,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",630,1.019
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN,0218-0014,1793-6381,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,165",0.994
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,0824-7935,1467-8640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",628,0.964
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,1433-2833,1433-2825,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",461,0.902
IET Computer Vision,IET COMPUT VIS,1751-9632,1751-9640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",487,0.878
CONNECTION SCIENCE,CONNECT SCI,0954-0091,1360-0494,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",358,0.867
Journal of Applied Logic,J APPL LOGIC,1570-8683,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",283,0.838
Statistical Analysis and Data Mining,STAT ANAL DATA MIN,1932-1864,1932-1872,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",375,0.827
AI MAGAZINE,AI MAG,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,231",0.812
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,1876-1364,1876-1372,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",262,0.809
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,1573-7470,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",833,0.807
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,1469-1760,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",569,0.803
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,1793-6349,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",422,0.778
Natural Computing,NAT COMPUT,1567-7818,1572-9796,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",663,0.778
Intelligent Data Analysis,INTELL DATA ANAL,1088-467X,1571-4128,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",822,0.772
Biologically Inspired Cognitive Architectures,BIOL INSPIR COGN ARC,2212-683X,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",161,0.753
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,1683-3198,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",502,0.724
AI COMMUNICATIONS,AI COMMUN,0921-7126,1875-8452,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",362,0.654
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,0883-9514,1087-6545,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",588,0.652
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,1079-8587,2326-005X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",339,0.644
Malaysian Journal of Computer Science,MALAYS J COMPUT SCI,0127-9084,0127-9084,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",89,0.6
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,1844-7600,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",336,0.595
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,1300-0632,1303-6203,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",686,0.578
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,2375-4699,2375-4702,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12,0.562
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL,0954-898X,1361-6536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",638,0.562
Journal of Logic Language and Information,J LOGIC LANG INFORM,0925-8531,1572-9583,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",248,0.548
MINDS AND MACHINES,MIND MACH,0924-6495,1572-8641,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",358,0.514
COMPUTING AND INFORMATICS,COMPUT INFORM,1335-9150,1335-9150,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",338,0.488
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,1555-6530,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",362,0.484
Information Technology and Control,INF TECHNOL CONTROL,1392-124X,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",163,0.475
Neural Network World,NEURAL NETW WORLD,1210-0552,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",251,0.394
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,1542-3999,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",332,0.365
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,1793-6403,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",345,0.299
Traitement du Signal,TRAIT SIGNAL,0765-0019,1958-5608,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",72,0.028
IEEE Transactions on Cognitive and Developmental Systems,IEEE T COGN DEV SYST,2379-8920,2379-8939,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7,N/A
