Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2016 JIF
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","11,006",10.629
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","43,649",8.329
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","16,093",8.222
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","11,648",7.671
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,553",7.384
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",872,6.343
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,503",6.333
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","16,688",6.108
Information Fusion,INFORM FUSION,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,519",5.667
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","8,741",5.287
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",632,5.264
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","15,426",5.0
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","29,829",4.828
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,399",4.797
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","23,919",4.582
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","7,763",4.529
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,539",4.188
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","31,192",3.928
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,301",3.893
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,204",3.826
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","12,027",3.541
Cognitive Computation,COGN COMPUT,1866-9956,1866-9964,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",795,3.441
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,370",3.438
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","18,952",3.317
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","8,109",3.222
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,247",3.196
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1573-756X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,172",3.16
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",907,3.149
Swarm Intelligence,SWARM INTELL-US,1935-3812,1935-3820,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",562,3.115
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,920",3.035
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,391",2.929
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,0952-1976,1873-6769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,111",2.894
Semantic Web,SEMANT WEB,1570-0844,2210-4968,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",543,2.889
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,341",2.845
AUTONOMOUS ROBOTS,AUTON ROBOT,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,722",2.706
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,1873-5320,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,708",2.68
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1872-8138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","5,540",2.671
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,524",2.627
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,235",2.528
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,0941-0643,1433-3058,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,553",2.505
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,1090-235X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","4,829",2.498
MECHATRONICS,MECHATRONICS,0957-4158,0957-4158,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,627",2.496
IEEE Transactions on Human-Machine Systems,IEEE T HUM-MACH SYST,2168-2291,2168-2305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",518,2.493
Frontiers in Neurorobotics,FRONT NEUROROBOTICS,1662-5218,1662-5218,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",270,2.486
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,971",2.485
SOFT COMPUTING,SOFT COMPUT,1432-7643,1433-7479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,679",2.472
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,577",2.374
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,1873-3239,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","6,962",2.303
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1076-9757,1943-5037,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,309",2.284
Memetic Computing,MEMET COMPUT,1865-9284,1865-9292,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",280,2.205
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,2199-3211,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",777,2.198
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",459,2.133
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1942-4787,1942-4795,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",481,2.111
Journal of Real-Time Image Processing,J REAL-TIME IMAGE PR,1861-8200,1861-8219,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",553,2.01
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,807",2.009
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,1432-1769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,797",2.005
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,0219-1377,0219-3116,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,146",2.004
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,0167-8655,1872-7344,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,609",1.995
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,1573-7683,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,017",1.994
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1872-793X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,891",1.95
NEURAL COMPUTATION,NEURAL COMPUT,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,746",1.938
International Journal of Bio-Inspired Computation,INT J BIO-INSPIR COM,1758-0366,1758-0374,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",581,1.935
APPLIED INTELLIGENCE,APPL INTELL,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,473",1.904
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG,0885-2308,1095-8363,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,266",1.9
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,0886-9383,1099-128X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,171",1.884
MACHINE LEARNING,MACH LEARN,0885-6125,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","12,944",1.848
JOURNAL OF HEURISTICS,J HEURISTICS,1381-1231,1572-9397,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,168",1.807
International Journal of Machine Learning and Cybernetics,INT J MACH LEARN CYB,1868-8071,1868-808X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",733,1.699
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,0169-023X,1872-6933,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,741",1.694
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,1568-4539,1573-2908,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",608,1.681
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,0219-6220,1793-6845,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",742,1.664
