Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2005 JIF
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES ,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",904,4.027
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL ,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13053,3.81
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION ,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3665,3.657
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT ,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1226,3.257
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL ,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1202,3.149
MACHINE LEARNING,MACH LEARN ,0885-6125,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3568,3.108
ARTIFICIAL INTELLIGENCE,ARTIF INTELL ,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5335,2.638
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG ,1387-2532,1573-7454,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",336,2.605
NEURAL COMPUTATION,NEURAL COMPUT ,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4425,2.591
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST ,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1065,2.56
N/A,COGNITIVE BRAIN RES ,0926-6410,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2591,2.471
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS ,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5899,2.428
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES ,1076-9757,1943-5037,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1002,2.247
N/A,IEEE T NEURAL NETWOR ,1045-9227,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5326,2.205
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS ,0924-9907,1573-7683,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",458,2.197
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV ,0269-8889,1469-8005,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",410,2.179
PATTERN RECOGNITION,PATTERN RECOGN ,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5790,2.153
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC ,1384-5810,1573-756X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",741,2.105
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL ,0954-898X,1361-6536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",626,2.055
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED ,0933-3657,1873-2860,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",681,1.882
JOURNAL OF CHEMOMETRICS,J CHEMOMETR ,0886-9383,1099-128X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1269,1.875
ARTIFICIAL LIFE,ARTIF LIFE ,1064-5462,1530-9185,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",568,1.857
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB ,0169-7439,1873-3239,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2532,1.77
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN ,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1750,1.758
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST ,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2281,1.701
NEURAL NETWORKS,NEURAL NETWORKS ,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3626,1.665
EVOLUTIONARY COMPUTATION,EVOL COMPUT ,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",983,1.568
AI MAGAZINE,AI MAG ,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",586,1.521
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND ,1077-3142,1090-235X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1372,1.468
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT ,0262-8856,1872-8138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1509,1.383
AUTONOMOUS ROBOTS,AUTON ROBOT ,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",413,1.246
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL ,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",715,1.236
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST ,0925-9902,1573-7675,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",344,1.234
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT ,0167-8655,1872-7344,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2007,1.138
N/A,IEEE T SYST MAN CY B ,1083-4419,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1504,1.108
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG ,0169-023X,1872-6933,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",522,1.085
CONNECTION SCIENCE,CONNECT SCI ,0954-0091,1360-0494,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",280,0.969
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON ,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",492,0.959
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST ,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",992,0.946
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING ,0168-7433,1573-0670,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",359,0.875
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV ,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",300,0.868
NEUROCOMPUTING,NEUROCOMPUTING ,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1463,0.79
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL ,1433-7541,1433-755X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",205,0.782
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST ,0921-8890,1872-793X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",536,0.777
CONSTRAINTS,CONSTRAINTS ,1383-7133,1572-9354,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",107,0.714
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL ,0952-1976,1873-6769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",412,0.709
N/A,REAL-TIME IMAGING ,1077-2014,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",203,0.708
N/A,IEEE T SYST MAN CY C ,1094-6977,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",378,0.706
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT ,1370-4621,1573-773X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",262,0.701
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST ,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",309,0.696
MECHATRONICS,MECHATRONICS ,0957-4158,0957-4158,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",440,0.679
MACHINE VISION AND APPLICATIONS,MACH VISION APPL ,0932-8092,1432-1769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",326,0.667
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST ,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",516,0.657
EXPERT SYSTEMS,EXPERT SYST ,0266-4720,1468-0394,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",121,0.652
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN ,0218-0014,1793-6381,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",520,0.638
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL ,0883-9514,1087-6545,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",332,0.629
AI COMMUNICATIONS,AI COMMUN ,0921-7126,1875-8452,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",209,0.612
APPLIED INTELLIGENCE,APPL INTELL ,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",222,0.569
JOURNAL OF HEURISTICS,J HEURISTICS ,1381-1231,1572-9397,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",285,0.551
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL ,1012-2443,1573-7470,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",388,0.541
SOFT COMPUTING,SOFT COMPUT ,1432-7643,1433-7479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",238,0.538
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL ,0824-7935,1467-8640,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",520,0.532
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW ,0218-1940,1793-6403,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",138,0.508
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG ,0885-2308,1095-8363,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",335,0.487
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E ,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",79,0.444
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN ,0952-813X,1362-3079,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",198,0.439
