Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Autonomous Robots,10.0,9.0,12.0,20.0,28.0,30.0,14.0,13.0,16.0,11.0,4.0,8.0,29.0,31.0,24.0,27.0,38.0,58.0,66.0
Machine Vision and Applications,40.0,34.0,27.0,36.0,52.0,32.0,40.0,59.0,51.0,45.0,53.0,45.0,48.0,66.0,62.0,82.0,81.0,68.0,68.0
Artificial Intelligence in Medicine,28.0,33.0,30.0,33.0,46.0,38.0,39.0,35.0,38.0,37.0,34.0,42.0,38.0,28.0,26.0,29.0,24.0,23.0,20.0
Neural Computing and Applications,52.0,50.0,46.0,52.0,65.0,64.0,71.0,62.0,59.0,64.0,57.0,44.0,28.0,27.0,30.0,34.0,31.0,32.0,27.0
Knowledge-Based Systems,54.0,57.0,54.0,59.0,55.0,33.0,33.0,23.0,19.0,17.0,12.0,13.0,11.0,11.0,12.0,16.0,19.0,21.0,18.0
Engineering Applications of Artificial Intelligence,32.0,29.0,37.0,44.0,33.0,27.0,29.0,25.0,23.0,25.0,27.0,28.0,26.0,26.0,27.0,26.0,22.0,22.0,17.0
Journal of Experimental &amp; Theoretical Artificial Intelligence,42.0,59.0,64.0,68.0,72.0,70.0,77.0,85.0,82.0,87.0,69.0,63.0,87.0,76.0,57.0,72.0,88.0,83.0,76.0
Connection Science,41.0,43.0,57.0,54.0,64.0,67.0,73.0,80.0,87.0,80.0,71.0,78.0,86.0,95.0,97.0,96.0,91.0,80.0,59.0
Network: Computation in Neural Systems,27.0,32.0,43.0,39.0,37.0,51.0,74.0,81.0,81.0,83.0,91.0,101.0,96.0,96.0,104.0,110.0,124.0,132.0,85.0
Journal of Intelligent Manufacturing,30.0,39.0,44.0,35.0,31.0,31.0,41.0,56.0,49.0,44.0,44.0,36.0,33.0,29.0,28.0,30.0,26.0,13.0,8.0
Expert Systems with Applications,22.0,26.0,20.0,17.0,14.0,14.0,16.0,20.0,22.0,24.0,23.0,18.0,12.0,14.0,15.0,15.0,18.0,14.0,14.0
Annals of Mathematics and Artificial Intelligence,48.0,54.0,58.0,67.0,70.0,71.0,78.0,79.0,74.0,82.0,88.0,91.0,91.0,87.0,96.0,112.0,117.0,123.0,117.0
IEEE Transactions on Knowledge and Data Engineering,15.0,15.0,7.0,6.0,17.0,20.0,19.0,7.0,11.0,28.0,22.0,11.0,13.0,20.0,14.0,17.0,25.0,31.0,38.0
IEEE Transactions on Image Processing,7.0,4.0,3.0,8.0,8.0,8.0,15.0,12.0,6.0,8.0,8.0,16.0,17.0,16.0,11.0,11.0,13.0,12.0,10.0
Evolutionary Computation,6.0,22.0,32.0,29.0,23.0,17.0,21.0,26.0,5.0,4.0,18.0,19.0,22.0,33.0,22.0,28.0,43.0,36.0,24.0
IEEE Transactions on Fuzzy Systems,8.0,14.0,14.0,11.0,10.0,11.0,10.0,9.0,10.0,7.0,5.0,3.0,6.0,12.0,10.0,9.0,12.0,17.0,9.0
Journal of Intelligent &amp; Fuzzy Systems,59.0,62.0,68.0,74.0,77.0,82.0,81.0,82.0,79.0,84.0,83.0,83.0,82.0,85.0,88.0,93.0,,106.0,111.0
Journal of Computer and Systems Sciences International,59.0,62.0,68.0,72.0,75.0,79.0,85.0,87.0,90.0,93.0,99.0,105.0,100.0,107.0,113.0,118.0,122.0,129.0,128.0
Artificial Life,23.0,30.0,34.0,50.0,69.0,74.0,55.0,43.0,52.0,61.0,81.0,86.0,88.0,93.0,83.0,88.0,115.0,104.0,89.0
Integrated Computer-Aided Engineering,49.0,56.0,65.0,69.0,66.0,68.0,82.0,64.0,63.0,79.0,76.0,69.0,49.0,44.0,47.0,42.0,58.0,50.0,44.0
Journal of Artificial Intelligence Research,59.0,62.0,68.0,74.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,116.0,4.0,5.0,79.0,65.0
Computer Vision and Image Understanding,14.0,17.0,23.0,14.0,11.0,3.0,8.0,34.0,40.0,52.0,45.0,34.0,39.0,42.0,37.0,35.0,35.0,42.0,57.0
Intelligent Automation &amp; Soft Computing,58.0,61.0,66.0,73.0,76.0,80.0,86.0,88.0,,97.0,101.0,107.0,104.0,104.0,109.0,116.0,126.0,127.0,108.0
IEEE Transactions on Evolutionary Computation,1.0,3.0,6.0,4.0,2.0,4.0,4.0,6.0,4.0,5.0,9.0,6.0,5.0,4.0,6.0,8.0,6.0,8.0,12.0
Computing and Informatics,59.0,62.0,68.0,74.0,77.0,82.0,87.0,90.0,93.0,100.0,104.0,110.0,113.0,114.0,114.0,119.0,116.0,135.0,131.0
Medical Image Analysis,11.0,18.0,16.0,12.0,13.0,6.0,5.0,10.0,8.0,12.0,10.0,15.0,14.0,13.0,2.0,2.0,4.0,3.0,7.0
