Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
Applied Intelligence,0.477,0.569,0.329,0.5,0.775,0.988,0.893,0.849,1.853,,,1.215,1.904,1.983,2.882,3.325,5.086,5.019,5.019
Journal of Mathematical Imaging and Vision,0.887,2.197,1.767,1.22,1.331,1.437,1.285,1.391,1.767,2.33,1.552,1.461,1.994,1.927,1.603,1.353,1.627,1.627,1.627
Neurocomputing,0.641,0.79,0.86,0.865,1.234,1.44,1.442,1.58,1.634,2.005,2.083,0.45,0.548,0.536,0.5,0.44,0.829,0.617,0.617
Journal of Intelligent Information Systems,0.851,1.234,0.75,0.796,1.075,0.98,0.875,0.618,0.833,0.632,0.886,1.0,1.294,1.107,1.589,1.813,1.888,2.504,2.504
Autonomous Robots,1.309,1.246,1.578,1.413,1.5,1.235,2.033,1.5,1.908,1.75,2.066,1.547,2.706,2.244,3.634,3.602,3.0,3.255,3.255
Machine Vision and Applications,0.538,0.667,0.569,0.682,1.485,0.952,1.549,1.009,1.103,1.444,1.351,1.272,2.005,1.306,1.788,1.605,2.012,2.983,2.983
Artificial Intelligence in Medicine,1.124,1.882,1.634,1.825,1.96,1.645,1.568,1.345,1.355,1.356,2.019,2.142,2.009,2.879,3.574,4.383,5.326,7.011,7.011
Neural Computing and Applications,0.167,0.403,0.61,0.627,0.767,0.812,0.563,0.699,1.168,1.763,1.569,1.492,2.505,4.213,4.664,4.774,5.606,5.102,5.102
Knowledge-Based Systems,0.645,0.696,0.576,0.574,0.924,1.308,1.574,2.422,4.104,3.058,2.947,3.325,4.529,4.396,5.101,5.921,8.038,8.139,8.139
Engineering Applications of Artificial Intelligence,0.421,0.709,0.866,0.762,1.397,1.444,1.352,1.665,1.625,1.962,2.207,2.368,2.894,2.819,3.526,4.201,6.212,7.802,7.802
Journal of Experimental &amp; Theoretical Artificial Intelligence,0.556,0.439,0.297,0.5,0.341,0.533,0.655,0.333,0.317,0.527,1.0,1.703,1.384,1.011,2.111,2.039,2.34,2.296,2.296
Connection Science,0.765,0.969,1.297,1.5,0.884,0.806,1.057,0.676,0.706,0.769,0.842,1.125,0.867,0.933,0.673,1.042,1.971,0.0,0.0
Network: Computation in Neural Systems,1.227,2.055,1.0,1.385,1.333,1.536,0.957,1.533,0.333,0.5,0.87,0.647,0.562,0.706,1.0,0.5,1.273,1.5,1.5
Journal of Intelligent Manufacturing,0.595,0.343,0.598,0.419,1.018,0.938,1.081,0.859,1.278,1.142,1.731,1.995,3.035,3.667,3.535,4.311,6.485,7.136,7.136
Expert Systems with Applications,1.247,1.236,0.957,1.177,2.596,2.908,1.926,2.203,1.854,1.965,2.24,2.981,3.928,3.768,4.292,5.452,6.954,8.665,8.665
Annals of Mathematics and Artificial Intelligence,0.851,0.541,0.756,0.588,0.722,0.893,0.43,0.358,0.2,0.488,0.691,0.944,0.807,0.899,1.011,0.778,0.789,1.019,1.019
IEEE Transactions on Knowledge and Data Engineering,1.243,1.758,2.063,1.896,2.236,2.285,1.851,1.657,1.892,1.815,2.067,2.476,3.438,2.775,3.857,4.935,6.977,9.235,9.235
IEEE Transactions on Image Processing,2.011,2.428,2.715,2.462,3.315,2.848,2.918,3.042,3.199,3.111,3.625,3.735,4.828,5.071,6.79,9.34,10.856,11.041,11.041
Evolutionary Computation,3.206,1.568,1.325,1.575,3.0,3.103,2.652,1.061,2.109,3.733,2.366,3.6,3.826,2.388,3.469,3.933,3.277,4.766,4.766
IEEE Transactions on Fuzzy Systems,1.373,1.701,1.803,2.137,3.624,3.343,2.695,4.26,5.484,6.306,8.746,6.701,7.671,8.415,8.759,9.518,12.029,12.253,12.253
Journal of Intelligent &amp; Fuzzy Systems,0.439,0.174,0.283,0.221,0.649,0.74,0.648,0.556,0.788,0.936,1.812,1.004,1.261,1.426,1.637,1.851,,1.737,1.737
Journal of Computer and Systems Sciences International,0.054,0.105,0.051,0.145,0.082,0.168,0.191,0.168,0.249,0.265,0.483,0.503,0.484,0.554,0.513,0.538,0.536,0.722,0.722
Artificial Life,2.15,1.857,1.769,1.644,1.164,1.96,2.143,2.282,1.585,1.93,1.386,1.042,1.316,0.897,1.608,1.186,0.667,1.717,1.717
Integrated Computer-Aided Engineering,0.148,0.444,0.236,0.113,0.617,2.042,2.122,3.451,3.37,4.667,4.698,4.981,5.264,3.667,4.904,4.706,4.827,6.137,6.137
Journal of Artificial Intelligence Research,2.045,2.247,1.795,1.107,1.611,1.981,1.691,1.143,1.056,0.904,1.257,1.659,2.284,1.257,1.82,2.441,2.776,3.635,3.635
Computer Vision and Image Understanding,0.651,1.468,1.548,1.417,2.22,1.676,2.534,1.34,1.232,1.358,1.54,2.134,2.498,2.391,2.645,3.121,3.876,4.886,4.886
Intelligent Automation &amp; Soft Computing,0.089,0.16,0.354,0.268,0.224,0.349,0.187,0.116,,0.189,0.218,0.351,0.644,0.652,0.79,1.276,1.647,3.401,3.401
IEEE Transactions on Evolutionary Computation,3.688,3.257,3.77,2.426,3.736,4.589,4.403,3.341,4.81,5.545,3.654,5.908,10.629,8.124,8.508,11.169,11.554,16.497,16.497
