Revista,JCR 2004,JCR 2005,JCR 2006,JCR 2007,JCR 2008,JCR 2009,JCR 2010,JCR 2011,JCR 2012,JCR 2013,JCR 2014,JCR 2015,JCR 2016,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021,JCR 2022
IEEE Transactions on Neural Networks and Learning Systems,,,,,,,,,3.766,47.417,41.615,43.621,47.76,42.72,40.784,39.973,31.864,17.509,4.713
International Journal of Computational Intelligence Systems,,,,,,,,,,7.885,0.574,0.391,2.789,1.929,2.153,1.838,1.736,2.259,2.259
IEEE Transactions on Affective Computing,,,,,,,,,,122.6,99.485,60.478,58.532,50.709,37.15,31.488,30.918,16.59,0.133
ACM Transactions on Intelligent Systems and Technology,,,,,,,,,,179.594,26.264,28.001,31.356,21.314,16.112,14.738,22.836,16.779,1.787
IEEE Transactions on Cybernetics,,,,,,,,,,0.536,60.705,53.242,46.851,47.508,46.953,39.022,29.983,22.803,9.029
IEEE Transactions on Human-Machine Systems,,,,,,,,,,0.393,20.625,20.621,20.18,21.332,19.742,15.323,10.615,5.898,1.554
Memetic Computing,,,,,,,,,,,15.062,19.308,18.469,14.288,11.993,19.484,16.16,6.791,4.687
IET Biometrics,,,,,,,,,,,15.872,17.928,17.021,13.302,12.238,12.275,11.207,6.355,2.206
Semantic Web,,,,,,,,,,,,17.008,13.165,25.548,24.824,12.872,9.237,6.019,3.249
Frontiers in Neurorobotics,,,,,,,,,,,,19.828,21.104,27.939,26.112,17.923,12.228,7.832,1.892
Journal of Ambient Intelligence and Humanized Computing,,,,,,,,,,,,12.484,12.793,13.053,11.922,9.681,8.629,10.537,5.635
International Journal of Machine Learning and Cybernetics,,,,,,,,,,,,13.138,11.532,13.267,14.344,14.368,12.614,10.428,5.808
Statistical Analysis and Data Mining,,,,,,,,,,,,8.189,6.929,5.338,7.536,6.741,2.624,1.978,1.135
Swarm and Evolutionary Computation,,,,,,,,,,,,50.558,38.705,44.172,41.381,31.206,27.585,20.251,6.976
IET Image Processing,,,,,,,,,,,,,1.044,0.099,7.227,7.155,5.237,3.619,2.067
ACM Transactions on Asian and Low-Resource Language Information Processing,,,,,,,,,,,,,3.264,4.187,5.151,5.123,4.082,2.804,2.175
IEEE Transactions on Cognitive and Developmental Systems,,,,,,,,,,,,,0.0,5.813,6.884,10.086,9.911,4.525,1.779
Egyptian Informatics Journal,,,,,,,,,,,,,,,19.039,21.069,15.301,7.701,5.691
Big Data Research,,,,,,,,,,,,,,,18.768,14.66,10.49,3.132,2.128
IEEE Transactions on Games,,,,,,,,,,,,,,,0.0,6.9,5.332,3.908,2.276
International Journal of Interactive Multimedia and Artificial Intelligence,,,,,,,,,,,,,,,,9.973,5.287,3.022,0.566
ACM Transactions on Interactive Intelligent Systems,,,,,,,,,,,,,,,,14.079,9.457,5.597,4.71
Complex &amp; Intelligent Systems,,,,,,,,,,,,,,,,30.733,19.554,15.663,5.156
PeerJ Computer Science,,,,,,,,,,,,,,,,32.506,7.363,5.64,3.982
Artificial Intelligence and Law,,,,,,,,,,,,,,,,,8.262,8.277,6.574
Evolving Systems,,,,,,,,,,,,,,,,,7.798,7.82,5.586
Journal of Artificial Intelligence and Soft Computing Research,,,,,,,,,,,,,,,,,9.577,11.749,9.885
International Journal of Multimedia Information Retrieval,,,,,,,,,,,,,,,,,16.844,7.139,6.825
Nature Machine Intelligence,,,,,,,,,,,,,,,,,41.562,23.45,6.457
Transactions of the Association for Computational Linguistics,,,,,,,,,,,,,,,,,,16.105,12.85
IEEE Transactions on Intelligent Vehicles,,,,,,,,,,,,,,,,,,8.5,5.268
CAAI Transactions on Intelligence Technology,,,,,,,,,,,,,,,,,,11.361,
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,,,,,,,,,,,,,,6.063,4.06
Machine Learning: Science and Technology,,,,,,,,,,,,,,,,,,8.934,5.05
Advanced Intelligent Systems,,,,,,,,,,,,,,,,,,7.072,3.707
