DOI,Título,Autores,Año,Citas,Revista
10.1561/2200000019,Metric Learning: A Survey,Brian Kulis,2013,439,Foundations and Trends® in Machine Learning
10.1561/2200000038,From Bandits to Monte-Carlo Tree Search: The Optimistic Principle Applied to Optimization and Planning,Remi Munos,2014,87,Foundations and Trends® in Machine Learning
10.1561/2200000078-2,Data Analytics on Graphs Part II: Signals on Graphs,"Ljubiša Stanković, Danilo Mandic, Miloš Daković, Miloš Brajović, Bruno Scalzo, Shengxi Li, Anthony G. Constantinides",2020,13,Foundations and Trends® in Machine Learning
10.1561/2200000054,Explicit-Duration Markov Switching Models,Silvia Chiappa,2014,9,Foundations and Trends® in Machine Learning
10.1561/2200000064,Explaining the Success of Nearest Neighbor Methods in Prediction,"George H. Chen, Devavrat Shah",2018,50,Foundations and Trends® in Machine Learning
10.1561/2200000059,Tensor Networks for Dimensionality Reduction and Large-scale Optimization: Part 1 Low-Rank Tensor Decompositions,"Andrzej Cichocki, Namgil Lee, Ivan Oseledets, Anh-Huy Phan, Qibin Zhao, Danilo P. Mandic",2016,199,Foundations and Trends® in Machine Learning
10.1561/2200000001,"Graphical Models, Exponential Families, and Variational Inference","Martin J. Wainwright, Michael I. Jordan",2007,1061,Foundations and Trends® in Machine Learning
10.1561/2200000008,A Survey of Statistical Network Models,Anna Goldenberg,2009,50,Foundations and Trends® in Machine Learning
10.1561/2200000090,Minimum-Distortion Embedding,"Akshay Agrawal, Alnur Ali, Stephen Boyd",2021,7,Foundations and Trends® in Machine Learning
10.1561/2200000026,On the Concentration Properties of Interacting Particle Processes,Pierre Del Moral,2010,9,Foundations and Trends® in Machine Learning
10.1561/2200000092,A Unifying Tutorial on Approximate Message Passing,"Oliver Y. Feng, Ramji Venkataramanan, Cynthia Rush, Richard J. Samworth",2022,1,Foundations and Trends® in Machine Learning
10.1561/2200000079,Spectral Methods for Data Science: A Statistical Perspective,"Yuxin Chen, Yuejie Chi, Jianqing Fan, Cong Ma",2021,13,Foundations and Trends® in Machine Learning
10.1561/2200000098,Introduction to Riemannian Geometry and Geometric Statistics: From Basic Theory to Implementation with Geomstats,"Nicolas Guigui, Nina Miolane, Xavier Pennec",2023,0,Foundations and Trends® in Machine Learning
10.1561/2200000057,Spectral Learning on Matrices and Tensors,"Majid Janzamin, Rong Ge, Jean Kossaifi, Anima Anandkumar",2019,8,Foundations and Trends® in Machine Learning
10.1561/2200000039,Learning with Submodular Functions: A Convex Optimization Perspective,Francis Bach,2013,113,Foundations and Trends® in Machine Learning
10.1561/2200000067,Tensor Networks for Dimensionality Reduction and Large-scale Optimization: Part 2 Applications and Future Perspectives,"Andrzej Cichocki, Namgil Lee, Ivan Oseledets, Anh-Huy Phan, Qibin Zhao, Masashi Sugiyama, Danilo P. Mandic",2017,92,Foundations and Trends® in Machine Learning
10.1561/2200000015,Optimization with Sparsity-Inducing Penalties,Francis Bach,2011,459,Foundations and Trends® in Machine Learning
10.1561/2200000055,Generalized Low Rank Models,"Madeleine Udell, Corinne Horn, Reza Zadeh, Stephen Boyd",2016,147,Foundations and Trends® in Machine Learning
10.1561/2200000058,Non-convex Optimization for Machine Learning,"Prateek Jain, Purushottam Kar",2017,143,Foundations and Trends® in Machine Learning
10.1561/2200000073,Computational Optimal Transport: With Applications to Data Science,"Gabriel Peyré, Marco Cuturi",2019,576,Foundations and Trends® in Machine Learning
10.1561/2200000006,Learning Deep Architectures for AI,Y. Bengio,2009,5071,Foundations and Trends® in Machine Learning
10.1561/2200000048,An Introduction to Matrix Concentration Inequalities,Joel A. Tropp,2015,180,Foundations and Trends® in Machine Learning
10.1561/2200000070,A Tutorial on Thompson Sampling,"Daniel J. Russo, Benjamin Van Roy, Abbas Kazerouni, Ian Osband, Zheng Wen",2018,148,Foundations and Trends® in Machine Learning
