DOI,Título,Autores,Año,Citas,Revista
10.1007/s00500-017-2641-4,Fuzzy heaping mechanism for heaped count data with imprecision,Hye-Young Jung and Heawon Choi and Taesung Park,2018,3,Soft Computing
10.1007/s00500-011-0722-3,Putative xylosyltransferase genes in Trichomonas vaginalis,Kuo-Yuan Hwa and Boopathi Subramani and Kay-Hooi Khoo,2012,0,Soft Computing
10.1007/s00500-007-0180-0,Probability versus possibility and their application to actuator sensor networks,Aly I. El-Osery,2008,1,Soft Computing
10.1007/s00500-002-0199-1,"A roadmap of fuzzy logic in ATM, mobile and active networks: challenges of the new century",A. V. Vasilakos,2003,0,"Soft Computing - A Fusion of Foundations, Methodologies and Applications"
10.1007/s00500-021-05794-2,Non-normal fuzzy number analysis in various levels using centroid method for fuzzy optimization,M. Revathi and M. Valliathal,2021,0,Soft Computing
10.1007/s00500-017-2622-7,An extension of F-transforms to more general data: potential applications,Nicolás Madrid,2017,2,Soft Computing
10.1007/s00500-012-0974-6,"A framework for comparing heterogeneous objects: on the similarity measurements for fuzzy, numerical and categorical attributes",Yasmina Bashon and Daniel Neagu and Mick J. Ridley,2013,7,Soft Computing
10.1007/s00500-012-0893-6,On user-centric memetic algorithms,Ana Reyes Badillo and Juan Jesús Ruiz and Carlos Cotta and Antonio J. Fernández-Leiva,2013,8,Soft Computing
10.1007/s00500-014-1428-0,Using idea of three-step sparse residuals measurement to perform discriminant analysis,Xiaoning Song and Zi Liu and Jingyu Yang and Xiaojun Wu,2015,3,Soft Computing
10.1007/s005000100145,Properties of the solution set of a fuzzy relation equation from the viewpoint of attainability,H. Imai and M. Miyakoshi and Y. Sato,2002,1,Soft Computing
10.1007/s00500-020-05532-0,Selection of optimal software reliability growth model using a diversity index,Tahere Yaghoobi,2021,4,Soft Computing
10.1007/s00500-021-05712-6,RETRACTED ARTICLE: Decision aid modeling based on sine trigonometric spherical fuzzy aggregation information,Shahzaib Ashraf and Saleem Abdullah,2021,10,Soft Computing
10.1007/s00500-022-07219-0,Modified grasshopper optimization algorithm-based genetic algorithm for global optimization problems: the system of nonlinear equations case study,Hala A. Omar and M. A. El-Shorbagy,2022,1,Soft Computing
10.1007/s00500-021-05937-5,Analytic hierarchy process-based automatic feature weight assignment method for content-based satellite image retrieval system,Narendra Kumar Rout and Mitul Kumar Ahirwal and Mithilesh Atulkar,2023,1,Soft Computing
10.1007/s00500-018-3302-y,Selecting evolutionary algorithms for black box design optimization problems,Shiu Yin Yuen and Yang Lou and Xin Zhang,2019,9,Soft Computing
10.1007/s00500-023-07944-0,SBLMD–ANN–MOPSO-based hybrid approach for determining optimum parameter in CNC milling,Rohit Mishra and Bhagat Singh,2023,0,Soft Computing
10.1007/s00500-021-06275-2,f-Slip: an efficient privacy-preserving data publishing framework for 1:M microdata with multiple sensitive attributes,J. Jayapradha and M. Prakash,2022,3,Soft Computing
10.1007/s00500-021-06195-1,Wijsman asymptotic lacunary $$\mathcal {I}_2$$-invariant equivalence for double set sequences,Uǧur Ulusu and Erdinç Dündar and Nimet Pancaroǧlu Akın,2021,0,Soft Computing
10.1007/s00500-019-04013-3,Solving fuzzy quadratic programming problems based on ABS algorithm,Reza Ghanbari and Khatere Ghorbani-Moghadam,2019,1,Soft Computing
10.1007/s00500-016-2275-y,Expanding $$\hbox {FL}_{ew}$$ FL e w with a Boolean connective,Rodolfo C. Ertola-Biraben and Francesc Esteva and Lluís Godo,2017,1,Soft Computing
10.1007/s00500-018-3516-z,Hyper-commutators in effect algebras,Wei Ji and Hai Xie,2019,0,Soft Computing
10.1007/s00500-020-05163-5,Noise modeling of offshore platform using progressive normalized distance from worst-case error for optimal neuron numbers in deep belief network,Cheng Siong Chin and Ronghui Zhang,2021,1,Soft Computing
10.1007/s00500-020-05526-y,Theory and practice of natural computing: seventh edition,Carlos Martín-Vide and Miguel A. Vega-Rodríguez,2021,0,Soft Computing
10.1007/s00500-021-05852-9,Correction to: Sound measurement and automatic vehicle classification and counting applied to road traffic noise characterization,Oscar Esneider Acosta Agudelo and Carlos Enrique Montenegro Marín and Rubén González Crespo,2021,0,Soft Computing
10.1007/s00500-009-0436-y,Image category learning and classification via optimal linear combination of multiple partially matching kernels,Si-Yao Fu and Guo-Sheng Yang and Zeng-Guang Hou,2010,3,Soft Computing
10.1007/s00500-011-0787-z,Crowdsourcing techniques to create a fuzzy subset of SNOMED CT for semantic tagging of medical documents,David T. Parry and Tsung-Chun Tsai,2012,4,Soft Computing
10.1007/s00500-015-1724-3,A novel multi-population coevolution immune optimization algorithm,Jinke Xiao and Weimin Li and Bin Liu and Peng Ni,2016,6,Soft Computing
10.1007/s00500-016-2443-0,A new classification method based on rough sets theory,Rasim Cekik and Sedat Telceken,2018,14,Soft Computing
10.1007/s00500-022-07147-z,Blind code estimation of multi-antenna direct-spread CDMA with long-code signal using decomposition technique,Rangisetty Nirmaladevi and K. Kishan Rao,2022,0,Soft Computing
10.1007/s00500-022-06952-w,An efficient tracking of MPP in PV systems using hybrid HCS-PS algorithm based ANFIS under partially shaded conditions,Xiaoe Wu and Noritoshi Furukawa and Hai Tao and Hamid farajian,2022,0,Soft Computing
10.1007/s00500-006-0087-1,Assessment of Microarray Data Clustering Results Based on a New Geometrical Index for Cluster Validity,Benson S. Y. Lam and Hong Yan,2006,8,Soft Computing
10.1007/s00500-002-0240-4,Tackling 0/1 knapsack problem with gene induction,A. K. Bhatia and S. K. Basu,2003,6,"Soft Computing - A Fusion of Foundations, Methodologies and Applications"
10.1007/s00500-010-0580-4,A hybrid neural network cybernetic system for quantifying cross-market dynamics and business forecasting,S. I. Ao,2011,13,Soft Computing
10.1007/s00500-017-2802-5,New types of generalized Bosbach states on non-commutative residuated lattices,Weibing Zuo,2017,1,Soft Computing
10.1007/s005000000064,Molecular approach to informal computing,K.-P. Zauner and M. Conrad,2001,16,Soft Computing
10.1007/s00500-021-06654-9,Binary imbalanced big data classification based on fuzzy data reduction and classifier fusion,Junhai Zhai and Mohan Wang and Sufang Zhang,2022,0,Soft Computing
10.1007/s00500-014-1568-2,Effective problem solving through fuzzy logic knowledge bases aggregation,Kostas Kolomvatsos,2016,1,Soft Computing
10.1007/s00500-016-2390-9,Cooperative particle swarm optimization using MapReduce,Yang Wang and Yangyang Li and Zhenghan Chen and Yu Xue,2017,6,Soft Computing
10.1007/s00500-018-03673-x,Saliency detection in stereoscopic images using adaptive Gaussian Kernel and Gabor filter,Y. Rakesh and K. Sri Rama Krishna,2019,1,Soft Computing
10.1007/s00500-022-06919-x,Correction to: Unbiased decision making in location-routing problems with uncertain customer demands,Annarita De Maio and Roberto Musmanno and Francesca Vocaturo,2022,0,Soft Computing
10.1007/s00500-012-0812-x,Type-2 fuzzy hybrid expert system for prediction of tardiness in scheduling of steel continuous casting process,M. H. Fazel Zarandi and R. Gamasaee,2012,12,Soft Computing
10.1007/s00500-015-1958-0,Analysis of long-term swarm performance based on short-term experiments,Yara Khaluf and Mauro Birattari and Franz Rammig,2016,12,Soft Computing
10.1007/s00500-017-2561-3,Implementation of scalable fuzzy relational operations in MapReduce,Elham S. Khorasani and Matthew Cremeens and Zhenge Zhao,2018,6,Soft Computing
10.1007/s00500-021-06100-w,Existence and uniqueness of solution for fuzzy integral equations of product type,Vahid Samadpour Khalifeh Mahaleh and R. Ezzati,2021,1,Soft Computing
10.1007/s00500-010-0575-1,Detecting anomalies from high-dimensional wireless network data streams: a case study,Ji Zhang and Qigang Gao and Hai Wang and Hua Wang,2011,14,Soft Computing
10.1007/s00500-012-0911-8,Decomposition of realizable fuzzy relations,Yan Yang and Qing-you Liu and Xue-ping Wang,2013,0,Soft Computing
10.1007/s00500-002-0183-9,Integration of document index with perception index,D.-Y. Choi,2002,0,"Soft Computing - A Fusion of Foundations, Methodologies and Applications"
10.1007/s00500-015-1598-4,Least squares support vector regression and interval type-2 fuzzy density weight for scene denoising,Shuqiong Xu and Zhi Liu and Yun Zhang,2016,3,Soft Computing
10.1007/s00500-004-0411-6,Exploring spatial data through computational intelligence: a joint perspective,Marco Painho and Athanasios Vasilakos and Fernando Bacao and Witold Pedrycz,2005,2,Soft Computing
10.1007/s00500-018-3323-6,Betting on continuous independent events,Daniele Mundici,2019,1,Soft Computing
10.1007/s00500-021-06466-x,Sheffer operation in relational systems,Ivan Chajda and Helmut Länger,2022,0,Soft Computing
10.1007/s00500-013-0988-8,A congruence modular variety that is neither congruence distributive nor 3-permutable,Ivan Chajda,2013,0,Soft Computing
10.1007/s00500-003-0277-z,In honour of Prof. Ján Jakubík on the occasion of his 80th birthday,Anatolij Dvurečenskij,2003,0,Soft Computing
10.1007/s00500-006-0061-y,Fuzzy-neural Computation and Robotics,Francisco Sandoval and Zeng-Guang Hou and Madan M. Gupta,2006,0,Soft Computing
10.1007/s00500-018-3637-4,Invisible consumptions and enlargements of activity floats under generalized precedence relations,Zhixiong Su,2019,1,Soft Computing
10.1007/s00500-003-0348-1,Interference level configuration in CDMA-based cellular networks,P. Demestichas and K. Tsagkaris and M. Theologou,2005,0,Soft Computing
10.1007/s00500-004-0418-z,Editorial: special issue on dynamic optimization problems,Jürgen Branke,2005,1,Soft Computing
10.1007/s00500-015-1797-z,A three-stage global optimization method for server selection in content delivery networks,Ting Wang and Junde Song and Meina Song,2017,1,Soft Computing
10.1007/s00500-019-03755-4,SimAndro: an effective method to compute similarity of Android applications,Masoud Reyhani Hamednai and Gyoosik Kim and Seong-je Cho,2019,1,Soft Computing
10.1007/s00500-018-03702-9,Study on a storage location strategy based on clustering and association algorithms,Li Zhou and Lili Sun and Zhaochan Li and Weipeng Li and Ning Cao and Russell Higgs,2020,6,Soft Computing
10.1007/s00500-019-04653-5,Wajsberg algebras arising from binary block codes,Cristina Flaut and Radu Vasile,2020,1,Soft Computing
10.1007/s00500-005-0503-y,Using kNN model for automatic text categorization,Gongde Guo and Hui Wang and David Bell and Yaxin Bi and Kieran Greer,2006,56,Soft Computing
10.1007/s00500-013-1104-9,Benchmarking and comparison of nature-inspired population-based continuous optimisation algorithms,D. T. Pham and M. Castellani,2014,58,Soft Computing
10.1007/s00500-017-2555-1,A new representation for inverse fuzzy transform and its application,A. Khastan,2017,8,Soft Computing
10.1007/s00500-019-04281-z,RNN-LSTM-GRU based language transformation,Ahmed Khan and Aaliya Sarfaraz,2019,10,Soft Computing
10.1007/s00500-021-05624-5,Study on e-commerce logistics cost control methods in the context of COVID-19 prevention and control,Qi Ding and Huimin Zhao,2021,6,Soft Computing
10.1007/s00500-017-2797-y,An adaptive control study for the DC motor using meta-heuristic algorithms,Alejandro Rodríguez-Molina and Miguel Gabriel Villarreal-Cervantes and Mario Aldape-Pérez,2019,18,Soft Computing
10.1007/s00500-015-1809-z,Hypoglycemia detection: multiple regression-based combinational neural logic approach,Sai Ho Ling and Phyo Phyo San and Hak Keung Lam and Hung T. Nguyen,2017,8,Soft Computing
10.1007/s00500-017-2912-0,A new approach to construct similarity measure for intuitionistic fuzzy sets,Yafei Song and Xiaodan Wang and Wen Quan and Wenlong Huang,2019,111,Soft Computing
10.1007/s00500-018-3355-y,An improved sine–cosine algorithm based on orthogonal parallel information for global optimization,Rizk M. Rizk-Allah,2019,40,Soft Computing
10.1007/s00500-019-04075-3,Teaching–learning-based optimisation algorithm and its application in capturing critical slip surface in slope stability analysis,Mayank Mishra and Venkata Ramana Gunturi and Damodar Maity,2020,16,Soft Computing
10.1007/s00500-017-2659-7,Stability in mean for multi-dimensional uncertain differential equation,Yanghe Feng and Xiaohu Yang and Guangquan Cheng,2018,20,Soft Computing
10.1007/s00500-018-3480-7,An integrated approach for failure mode and effect analysis based on uncertain linguistic GRA–TOPSIS method,Yu-Ping Hu and Xiao-Yue You and Liang Wang and Hu-Chen Liu,2019,44,Soft Computing
10.1007/s00500-022-07478-x,Hybrid quantum-classical solution for electric vehicle charger placement problem,Poojith U. Rao and Balwinder Sodhi,2022,1,Soft Computing
10.1007/s00500-021-06189-z,Generalized support vector machines (GSVMs) model for real-world time series forecasting,Mehrnaz Ahmadi and Mehdi Khashei,2021,1,Soft Computing
10.1007/s00500-015-1810-6,An experimental analysis of a new two-stage crossover operator for multiobjective optimization,K. Liagkouras and K. Metaxiotis,2017,9,Soft Computing
10.1007/s00500-017-2527-5,Project duration contract design problem under uncertain information,Long Qi,2018,4,Soft Computing
10.1007/s00500-022-07113-9,Review: a generalized belief interval-valued soft set with applications in decision making,Gözde Yaylalı and Nazan Çakmak Polat and Bekir Tanay,2022,0,Soft Computing
10.1007/s00500-022-07123-7,Mining fuzzy high average-utility itemsets using fuzzy utility lists and efficient pruning approach,Manijeh Hajihoseini and Mohammad Karim Sohrabi,2022,0,Soft Computing
10.1007/s00500-022-07175-9,Fusion of infrared and visible images based on discrete cosine wavelet transform and high pass filter,Zhigang Ren and Guoquan Ren and Dinghai Wu,2022,0,Soft Computing
10.1007/s00500-015-1865-4,Attraction basin sphere estimation approach for niching CMA-ES,Zhuoran Xu and Hiroyuki Iizuka and Masahito Yamamoto,2017,5,Soft Computing
10.1007/s005000000034,Principle of minimum entropy production in applied soft computing for advanced intelligent robotics and mechatronics,V. S. Ulyanov and S. A. Panfilov and S. V. Ulyanov and L. V. Litvintseva and I. Kurawaki and K. Tanaka,2000,5,Soft Computing
10.1007/s00500-009-0505-2,0-homogeneous effect algebras,Gejza Jenča,2010,3,Soft Computing
10.1007/s00500-016-2108-z,Multimodal biometric system based on information set theory and refined scores,Parul Arora and Sandeep Bhargava and Smriti Srivastava and Madasu Hanmandlu,2017,4,Soft Computing
10.1007/s00500-017-2967-y,Novel soft fuzzy rough rings (ideals) of rings and their application in decision making,Kuan Yun Zhu,2019,1,Soft Computing
10.1007/s005000000043,Knowledge based prediction of nonlinear phenomena,S. H. Kim,2000,0,Soft Computing
10.1007/s00500-013-1131-6,Sparse $$\varepsilon $$ ε -tube support vector regression by active learning,Vladimir Ceperic and Georges Gielen and Adrijan Baric,2014,4,Soft Computing
10.1007/s00500-020-05470-x,Ambient air quality assessment using ensemble techniques,D. Narasimhan and M. Vanitha,2021,1,Soft Computing
10.1007/s00500-014-1454-y,A fuzzy logic controller applied to a diversity-based multi-objective evolutionary algorithm for single-objective optimisation,Eduardo Segredo and Carlos Segura and Coromoto León and Emma Hart,2015,6,Soft Computing
10.1007/s005000100101,Computer networks design using hybrid fuzzy expert systems,C. Douligeris,2001,1,Soft Computing
10.1007/s00500-021-06632-1,On weak G-completeness for fuzzy metric spaces,Sugata Adhya and A. Deb Ray,2022,0,Soft Computing
10.1007/s00500-019-04177-y,Some new performance definitions of second-order fuzzy systems,Seyed Mohammad Mehdi Abbasi and Aliakbar Jalali,2020,1,Soft Computing
10.1007/s00500-009-0518-x,Evolving the face of a criminal: how to search a face space more effectively,Charlie Frowd and Vicki Bruce and Melanie Pitchford and Carol Gannon and Mark Robinson and Colin Tredoux and Jo Park and Alex Mcintyre and Peter J. B. Hancock,2011,0,Soft Computing
10.1007/pl00009891,Translations and similarity-based logic programming,M. I. Sessa,2001,11,Soft Computing
