DOI,Título,Autores,Año,Citas,Revista
10.3233/kes-2004-8404,Learning the users' preferences in e-commerce: A weight-adjustment approach,Bhanu Prasad,2005,1,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-2008-125-602,Fuzzy relation based modeling for medical diagnostic decision support: Case studies,"Kavishwar B. Wagholikar, Ashok W. Deshpande",2009,4,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-210051,Threat identification and risk assessments for named data networking architecture using SecRam,"Vishwa Pratap Singh, R.L. Ujjwal",2021,0,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-2010-0214,Optimization of reconfigurable multi-core system-on-chips for multi-standard applications,"Ali Ahmadinia, Hernando Fernandez-Canque",2011,0,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-170357,Systematic identification and analysis of different fraud detection approaches based on the strategy ahead,"Zahra Karimi Zandian, Mohammadreza Keyvanpour",2017,4,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-2010-0204,Tracking 3D pose of rigid objects using Inverse Compositional Active Appearance Models,"Pradit Mittrapiyanuruk, Guilherme N. DeSouza",2010,1,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-190132,Improved weighted local linear embedding algorithm based on Laplacian eigenmaps,"Qing Wu, Rongrong Jing, En Wang",2021,0,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-210065,Risk assessment for health insurance using equation modeling and machine learning,"Amrik Singh, K.R. Ramkumar",2021,0,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-170353,Boolean matrix equations for node identification in fuzzy rule based networks,"Alexander Gegov, Nedyalko Petrov, David Sanders, Boriana Vatchova",2017,6,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-130272,Development and evaluation of an emotional chat system using sense of touch,"Hajime Yoshida, Takaya Yuizono, Takashi Yoshino, Jun Munemori",2013,0,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-130274,Special issue: Selected papers of KES2012 – Part 1 of 2,"M. Graña, A.I. Gonzalez-Acuña, C. Zanni-Merk",2013,0,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-2007-11507,KeyGraph-based chance discovery for mobile contents management system,"Kyung-Joong Kim, Myung-Chul Jung, Sung-Bae Cho",2007,10,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-2011-0218,A logical reasoning system of process before-after relation based on a paraconsistent annotated logic program bf-EVALPSN,"Kazumi Nakamatsu, Jair Minoro Abe, Seiki Akama",2011,4,International Journal of Knowledge-based and Intelligent Engineering Systems
10.3233/kes-170358,Aggregation of inconsistent rules for fuzzy rule base simplification,"Alexander Gegov, David Sanders, Boriana Vatchova",2017,9,International Journal of Knowledge-based and Intelligent Engineering Systems
