DOI,Título,Autores,Año,Citas,Revista
10.4018/ijssci.2018040105,A Fine-Grained Stateful Data Analytics Method Based on Resilient State Table,"Jike Ge, Wenbo He, Zuqin Chen, Can Liu, Jun Peng, Guorong Chen",2018,1,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2010100104,Delay-Range-Dependent Robust Stability for Uncertain Stochastic Neural Networks with Time-Varying Delays,"Wei Feng, Haixia Wu",2010,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2009010106,Adaptive Computation Paradigm in Knowledge Representation,Marina L. Gavrilova,2009,2,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2013010102,Theoretical Framework and Denotatum-Based Models of Knowledge Creation for Monitoring and Evaluating R&amp;D Program Implementation,"Igor Zatsman, Pavel Buntman",2013,1,International Journal of Software Science and Computational Intelligence
10.4018/jssci.20110701,n.m.,,2011,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2014100105,Magnetic Remanence Prediction of NdFeB Magnets Based on a Novel Machine Learning Intelligence Approach Using a Particle Swarm Optimization Support Vector Regression,WenDe Cheng,2014,1,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2014100104,An Alternative Backward Fuzzy Rule Interpolation Method,Shangzhu Jin,2014,1,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2011010107,The Formal Design Model of a File Management System (FMS),"Yingxu Wang, Cyprian F. Ngolah, Xinming Tan, Yousheng Tian, Phillip C.Y. Sheu",2011,8,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2015070103,Search of Web Service based on Weighted Association Rule,"Lei Wang, Lingyu Xu, Yunlan Xue, Gaowei Zhang, Xiangfeng Luo",2015,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2013070103,Fuzzy Set Theoretical Approach to the Tone Triangle System,Naotoshi Sugano,2013,1,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2009070104,System Uncertainty Based Data-Driven Knowledge Acquisition,"Jun Zhao, Guoyin Wang",2009,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2011040103,Adaptive Study Design Through Semantic Association Rule Analysis,"Ping Chen, Wei Ding, Walter Garcia",2011,1,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2013040102,Unexplored Hypotheses on Potency-Magnitude Relations of eWOM Messages with Intensified Comparative Expressions,Kazunori Fujimoto,2013,2,International Journal of Software Science and Computational Intelligence
10.4018/jssci.20101001,n.m.,,2010,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2010101902,Perceiving the Social,"Victor V. Kryssanov, Shizuka Kumokawa, Igor Goncharenko, Hitoshi Ogawa",2010,1,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2010101904,CoPBoard,"Gilson Yukio Sato, Jean-Paul A. Barthès",2010,3,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.20130401,n.m.,,2013,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2021070102,Electricity Consumption Data Analysis Using Various Outlier Detection Methods,"Sidi Mohammed Kaddour, Mohamed Lehsaini",2021,3,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2020010104,An Incentive Compatible Mechanism for Replica Placement in Peer-Assisted Content Distribution,"Prabir Bhattacharya, Minzhe Guo",2020,6,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2020040104,A Comparative Analysis on Economic Load Dispatch Problem Using Soft Computing Techniques,"O.V. Singh, M. Singh",2020,7,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2021040103,Sharing VM Resources With Using Prediction of Future User Requests for an Efficient Load Balancing in Cloud Computing Environment,"Mousa Elrotub, Ahmed Bali, Abdelouahed Gherbi",2021,12,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2018010104,Chaotic Tornadogenesis Optimization Algorithm for Data Clustering Problems,"Ravi Kumar Saidala, Nagaraju Devarakonda",2018,7,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2016040101,New CICT Framework for Deep Learning and Deep Thinking Application,Rodolfo A. Fiorini,2016,13,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.20100401,n.m.,,2010,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.20130701,n.m.,,2013,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2010100102,Granular Computing and Human-Centricity in Computational Intelligence,Witold Pedrycz,2010,2,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2011070105,Comparison of Promoter Sequences Based on Inter Motif Distance,"A. Meera, Lalitha Rangarajan",2011,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2009040107,Motivational Gratification,Sugumar Mariappanadar,2009,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2009062502,A Lexical Knowledge Representation Model for Natural Language Understanding,"Ping Chen, Wei Ding, Chengmin Ding",2009,1,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2013100101,Modeling Agent Interactions using Common Ground Knowledge from a Joint Activity Theory Perspective,"Divesh Lala, Toyoaki Nishida",2013,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2016010101,Machine Learning Approach for Multi-Layered Detection of Chemical Named Entities in Text,"Usha B. Biradar, Harsha Gurulingappa, Lokanath Khamari, Shashikala Giriyan",2016,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2017010104,An Artificial Intelligence-Based Vehicular System Simulator,"Marvin T. Chan, Jonathan T. Chan, Christine Chan, Craig Gelowitz",2017,1,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.285591,Enhancing Cloud Availability via Intelligent Monitoring using Time Series Database and Machine Learning,,2022,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2017100102,Human Identification Using Gait Skeletal Joint Distance Features,"Md Wasiur Rahman, Marina L. Gavrilova",2017,1,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.20190401,n.m.,,2019,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.20200401,n.m.,,2020,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2017070104,The AFSA-GA Algorithm for the Quay Crane Scheduling Problem of the Loading and Unloading Operations,"Yi Liu, Sabina Shahbazzade, Jian Wang",2017,1,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2018070102,Improved SfM-Based Indoor Localization with Occlusion Removal,"Yushi Li, George Baciu, Yu Han, Chenhui Li",2018,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2014070103,Patient-Centered Clinical Trials Decision Support using Linked Open Data,"Bonnie MacKellar, Christina Schweikert, Soon Ae Chun",2014,7,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2021010103,A Two-Phase Load Balancing Algorithm for Cloud Environment,"Archana Singh, Rakesh Kumar",2021,9,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.309708,Analyzing Skin Disease Using XCNN (eXtended Convolutional Neural Network),"Ashish Tripathi, Arun Kumar Singh, Adarsh Singh, Arjun Choudhary, Kapil Pareek, K. K. Mishra",2022,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.313593,Sustainable Stock Market Prediction Framework Using Machine Learning Models,"Francisco José García Peñalvo, Tamanna Maan, Sunil K. Singh, Sudhakar Kumar, Varsha Arya, Kwok Tai Chui, Gaurav Pratap Singh",2022,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.315653,An Optimization Algorithm for the Uncertainties of Classroom Expression Recognition Based on SCN,"Wenkai Niu, Juxiang Zhou, Jiabei He, Jianhou Gan",2022,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.309426,Similarity Retrieval Based on Image Background Analysis,"Chang Zhu, Wenchao Jiang, Weilin Zhou, Hong Xiao",2022,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.312559,Multi-Objective Adaptive Manta-Ray Foraging Optimization for Workflow Scheduling with Selected Virtual Machines Using Time-Series-Based Prediction,"Sweta Singh, Rakesh Kumar, Udai Pratap Rao",2022,1,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2009010107,Protoforms of Linguistic Database Summaries as a Human Consistent Tool for Using Natural Language in Data Mining,"Janusz Kacprzyk, Slawomir Zadrozny",2009,35,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2014010101,Evaluation Model of Cognitive Distraction State Based on Eye Tracking Data Using Neural Networks,"Taku Harada, Hirotoshi Iwasaki, Kazuaki Mori, Akira Yoshizawa, Fumio Mizoguchi",2014,25,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2012040103,Cognitive Computational Models of Emotions and Affective Behaviors,"Luis-Felipe Rodríguez, Félix Ramos, Yingxu Wang",2012,7,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2010100106,The Formal Design Models of a Set of Abstract Data Types (ADTs),"Yingxu Wang, Xinming Tan, Cyprian F. Ngolah, Philip Sheu",2010,10,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2021070101,Recurrent Neural Network (RNN) to Analyse Mental Behaviour in Social Media,Hadj Ahmed Bouarara,2021,25,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.291714,An Improvement of Yield Production Rate for Crops by Predicting Disease Rate Using Intelligent Decision Systems,"n.m. Usha Rani M., n.m. Saravana Selvam N., n.m. Jegatha Deborah L.",2022,3,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.300361,Sentiment Analysis of COVID-19 Tweets Using Adaptive Neuro-Fuzzy Inference System Models,"Sabri Sabri Mohammed, Brahami Menaouer, Abid Faten Fatima Zohra, Matta Nada",2022,5,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2016070101,Improving Accuracy of Event-Related Potentials Classification by Channel Selection Using Independent Component Analysis and Least Square Methods,"Wenxuan Li, Mengfan Li, Wei Li",2016,4,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2015100102,Cognitive Processes of the Elderly Brain with MindGym Approach,"Jurij Tasic, Darja Rudan Tasic, Andrej Vovk, Dusan Šuput, Shushma Patel, Dilip Patel, Marjan Gusev, Sasko Ristov",2015,3,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.20160701,n.m.,,2016,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2013070102,Intra-Class Threshold Generation in Multimodal Biometric Systems by Set Estimation Technique,"Dhiman Karmakar, Madhura Datta, C.A. Murthy",2013,0,International Journal of Software Science and Computational Intelligence
10.4018/ijssci.2013100104,Fast Position and Accurate Segmentation Algorithms for Detecting Surface Defects of the Thermal-State Heavy Rail Based on Machine Vision,"Xue Wang, Yiran Chen, Tao Cheng, Zhijiang Xie",2013,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2012100102,ISW,"Jinlong Zeng, Guifeng Zheng",2012,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2012040102,Rough and Soft Set Approaches for Attributes Selection of Traditional Malay Musical Instrument Sounds Classification,"Norhalina Senan, Rosziati Ibrahim, Nazri Mohd Nawi, Iwan Tri Riyadi Yanto, Tutut Herawan",2012,0,International Journal of Software Science and Computational Intelligence
10.4018/jssci.2012100104,A Performance Prediction Method with an Equation-Based Behavioral Model for a Single-Bit Single-Loop Sigma-Delta Modulator,"Shuenn-Yuh Lee, Jia-Hua Hong",2012,0,International Journal of Software Science and Computational Intelligence
