DOI,Título,Autores,Año,Citas,Revista
10.1007/s13748-012-0010-1,Special issue: Multi-Agent Systems applications in transport,"Frank Dignum, Juan Pavón",2012,0,Progress in Artificial Intelligence
10.1007/s13748-015-0078-5,DxPCs: a toolbox for model-based diagnosis of dynamic systems using possible conflicts,"Belarmino Pulido, Anibal Bregon, Carlos J. Alonso-González, Alberto Hernández, David Rubio, Luis Miguel Villarroel",2016,2,Progress in Artificial Intelligence
10.1007/s13748-016-0106-0,How internal neurons represent the short context: an emergent perspective,"Dongshu Wang, Jiaming Chen, Lei Liu",2017,5,Progress in Artificial Intelligence
10.1007/s13748-015-0075-8,"Erratum to: GRASP for sequencing mixed models in an assembly line with work overload, useless time and production regularity","Joaquín Bautista, Rocío Alfaro-Pozo, Cristina Batalla-García",2016,0,Progress in Artificial Intelligence
10.1007/s13748-011-0007-1,Multi-robot map-merging-free connectivity-based positioning and tethering in unknown environments,"Somchaya Liemhetcharat, Manuela Veloso",2012,0,Progress in Artificial Intelligence
10.1007/s13748-014-0043-8,On the statistical analysis of the parameters’ trend in a machine learning algorithm,"Salvador García, Joaquín Derrac, Sergio Ramírez-Gallego, Francisco Herrera",2014,3,Progress in Artificial Intelligence
10.1007/s13748-021-00267-x,A semantic approach based on domain knowledge for polarity shift detection using distant supervision,"Zahra Ayeste, Samira Noferesti",2022,0,Progress in Artificial Intelligence
10.1007/s13748-019-00179-x,Improving transparency of deep neural inference process,"Hiroshi Kuwajima, Masayuki Tanaka, Masatoshi Okutomi",2019,11,Progress in Artificial Intelligence
10.1007/s13748-021-00255-1,Feature recognition of student using heuristic political effective evaluation reinforcement learning algorithm,"Rui Wu, Zeye Huang, Zongming Zhou, R. Gayathri, R. Premalatha",n.m.,0,Progress in Artificial Intelligence
10.1007/s13748-016-0108-y,AFRYCA 2.0: an improved analysis framework for consensus reaching processes,"Álvaro Labella, Francisco J. Estrella, Luis Martínez",2017,16,Progress in Artificial Intelligence
10.1007/s13748-012-0014-x,Weighing communication overhead against travel time reduction in advanced traffic information systems,"Rutger Claes, Tom Holvoet",2012,0,Progress in Artificial Intelligence
10.1007/s13748-018-0165-5,Fuzzy clustering-based semi-supervised approach for outlier detection in big text data,Farek Lazhar,2019,3,Progress in Artificial Intelligence
10.1007/s13748-021-00253-3,A deep learning model for innovative evaluation of ideological and political learning,"Baojing Zhang, Vinothraj Velmayil, V. Sivakumar",n.m.,13,Progress in Artificial Intelligence
10.1007/s13748-018-0141-0,Improvements on twin-hypersphere support vector machine using local density information,"Qing Ai, Anna Wang, Yang Wang, Haijing Sun",2018,7,Progress in Artificial Intelligence
10.1007/s13748-012-0017-7,Lightweight trusted routing for wireless sensor networks,"Laurent Vercouter, Jean-Paul Jamont",2012,4,Progress in Artificial Intelligence
10.1007/s13748-012-0012-z,Towards a model for urban mobility social simulation,"Francisco Grimaldo, Miguel Lozano, Fernando Barber, Alejandro Guerra-Hernández",2012,2,Progress in Artificial Intelligence
10.1007/s13748-022-00280-8,A K2 graph-based fusion model with manifold ranking for robot image saliency detection,"Dong Ye, Rui Yang",2022,0,Progress in Artificial Intelligence
10.1007/s13748-021-00245-3,When robots contribute to eradicate the COVID-19 spread in a context of containment,"Naila Aziza Houacine, Habiba Drias",2021,3,Progress in Artificial Intelligence
10.1007/s13748-017-0131-7,Improvement of subgroup descriptions in noisy data by detecting exceptions,"Pedro González, Ángel Miguel García-Vico, Cristóbal José Carmona, María José del Jesus",2018,0,Progress in Artificial Intelligence
10.1007/s13748-020-00220-4,Artificial intelligence-based antivirus in order to detect malware preventively,"Sidney M. L. de Lima, Heverton K. de L. Silva, João H. da S. Luz, Hercília J. do N. Lima, Samuel L. de P. Silva, Anna B. A. de Andrade, Alisson M. da Silva",2021,4,Progress in Artificial Intelligence
10.1007/s13748-020-00229-9,Prescriptive analytics for impulsive behaviour prevention using real-time biometrics,"Soumya Jyoti Raychaudhuri, Soumya Manjunath, Chithra Priya Srinivasan, N. Swathi, S. Sushma, K. N. Nitin Bhushan, C. Narendra Babu",2021,1,Progress in Artificial Intelligence
10.1007/s13748-016-0087-z,Analysis of beamforming for improving the energy efficiency in wireless sensor networks with metaheuristics,"J. Enrique Agudo, Juan F. Valenzuela-Valdés, Francisco Luna, Rafael M. Luque-Baena, Pablo Padilla",2016,3,Progress in Artificial Intelligence
10.1007/s13748-021-00249-z,Exact and heuristic procedures for the Heijunka-flow shop scheduling problem with minimum makespan and job replicas,Joaquín Bautista-Valhondo,2021,0,Progress in Artificial Intelligence
10.1007/s13748-021-00252-4,ARMLOWA: aspect rating analysis with multi-layer approach,"Sayani Ghosal, Amita Jain, Swati Sharma, Devendra Kumar Tayal",2021,2,Progress in Artificial Intelligence
10.1007/s13748-011-0003-5,Evolutionary intelligence in asphalt pavement modeling and quality-of-information,"José Neves, Jorge Ribeiro, Paulo Pereira, Victor Alves, José Machado, António Abelha, Paulo Novais, Cesar Analide, Manuel Santos, Manuel Fernández-Delgado",2012,10,Progress in Artificial Intelligence
10.1007/s13748-014-0059-0,Can artificial intelligence benefit from quantum computing?,Vicente Moret-Bonillo,2015,14,Progress in Artificial Intelligence
10.1007/s13748-021-00230-w,Active learning approach using a modified least confidence sampling strategy for named entity recognition,"Ankit Agrawal, Sarsij Tripathi, Manu Vardhan",2021,7,Progress in Artificial Intelligence
10.1007/s13748-018-0152-x,A refined method of forecasting based on high-order intuitionistic fuzzy time series data,"n.m. Abhishekh, Surendra Singh Gautam, S. R. Singh",2018,21,Progress in Artificial Intelligence
10.1007/s13748-020-00206-2,GDTM: Graph-based Dynamic Topic Models,"Kambiz Ghoorchian, Magnus Sahlgren",2020,2,Progress in Artificial Intelligence
10.1007/s13748-020-00227-x,Fault diagnosis under uncertain situations within a Bayesian knowledge-intensive CBR system,"Hoda Nikpour, Agnar Aamodt",2021,1,Progress in Artificial Intelligence
10.1007/s13748-017-0123-7,Handling swarm of UAVs based on evolutionary multi-objective optimization,"Cristian Ramirez-Atencia, Maria D. R-Moreno, David Camacho",2017,11,Progress in Artificial Intelligence
10.1007/s13748-017-0140-6,Emerging technologies in artificial intelligence: quantum rule-based systems,Vicente Moret-Bonillo,2018,7,Progress in Artificial Intelligence
10.1007/s13748-019-00192-0,Learning machines in Internet-delivered psychological treatment,"Magnus Boman, Fehmi Ben Abdesslem, Erik Forsell, Daniel Gillblad, Olof Görnerup, Nils Isacsson, Magnus Sahlgren, Viktor Kaldo",2019,6,Progress in Artificial Intelligence
10.1007/s13748-019-00194-y,A survey on Bayesian network structure learning from data,"Mauro Scanagatta, Antonio Salmerón, Fabio Stella",2019,77,Progress in Artificial Intelligence
10.1007/s13748-022-00278-2,Human emotion recognition for enhanced performance evaluation in e-learning,"Yu Du, Rubén González Crespo, Oscar Sanjuán Martínez",n.m.,1,Progress in Artificial Intelligence
10.1007/s13748-012-0015-9,An agent-based social forces model for driver evacuation behaviours,"David Handford, Alex Rogers",2012,11,Progress in Artificial Intelligence
10.1007/s13748-019-00177-z,Early anticipation of driver’s maneuver in semiautonomous vehicles using deep learning,"Shilpa Gite, Himanshu Agrawal, Ketan Kotecha",2019,8,Progress in Artificial Intelligence
10.1007/s13748-017-0133-5,An adapted incremental graded multi-label classification model for recommendation systems,"Khalil Laghmari, Christophe Marsala, Mohammed Ramdani",2018,8,Progress in Artificial Intelligence
10.1007/s13748-012-0038-2,A novel framework for class imbalance learning using intelligent under-sampling,"Satuluri Naganjaneyulu, Mrithyumjaya Rao Kuppa",2013,6,Progress in Artificial Intelligence
10.1007/s13748-019-00199-7,Improving recommender systems by encoding items and user profiles considering the order in their consumption history,"Pablo Pérez-Núñez, Oscar Luaces, Antonio Bahamonde, Jorge Díez",2020,1,Progress in Artificial Intelligence
10.1007/s13748-017-0127-3,Applying named entity recognition and co-reference resolution for segmenting English texts,Pavlina Fragkou,2017,6,Progress in Artificial Intelligence
10.1007/s13748-014-0056-3,A genetic algorithm for robust berth allocation and quay crane assignment,"Mario Rodriguez-Molins, Laura Ingolotti, Federico Barber, Miguel A. Salido, María R. Sierra, Jorge Puente",2014,33,Progress in Artificial Intelligence
10.1007/s13748-021-00235-5,Comparison among multi-criteria decision analysis techniques: a novel method,Susmita Bandyopadhyay,2021,4,Progress in Artificial Intelligence
10.1007/s13748-018-0159-3,SLANGZY: a fuzzy logic-based algorithm for English slang meaning selection,"Anshita Gupta, Sanya Bathla Taneja, Garima Malik, Sonakshi Vij, Devendra K. Tayal, Amita Jain",2019,4,Progress in Artificial Intelligence
10.1007/s13748-023-00299-5,A novel multi-criteria decision analysis technique incorporating demanding essential characteristics of existing MCDA techniques,Susmita Bandyopadhyay,n.m.,0,Progress in Artificial Intelligence
10.1007/s13748-016-0094-0,Learning from imbalanced data: open challenges and future directions,Bartosz Krawczyk,2016,1041,Progress in Artificial Intelligence
10.1007/s13748-015-0069-6,On two construction methods of copulas from fuzzy implication functions,"Sebastia Massanet, Daniel Ruiz-Aguilera, Joan Torrens",2016,5,Progress in Artificial Intelligence
10.1007/s13748-018-0144-x,A GRASP algorithm for Quota sequences with minimum work overload and forced interruption of operations in a mixed-product assembly line,"Joaquín Bautista, Rocío Alfaro-Pozo",2018,5,Progress in Artificial Intelligence
10.1007/s13748-016-0096-y,Applying multi-label and multi-class classification to enhance K-anonymity in sequential releases,"Dung Tran, Marina Sokolova",2016,2,Progress in Artificial Intelligence
10.1007/s13748-016-0084-2,"Moving towards a new paradigm of creation, dissemination, and application of computer-interpretable medical knowledge","Paulo Novais, Tiago Oliveira, José Neves",2016,5,Progress in Artificial Intelligence
10.1007/s13748-023-00295-9,"Automatic question generation: a review of methodologies, datasets, evaluation metrics, and applications","Nikahat Mulla, Prachi Gharpure",n.m.,0,Progress in Artificial Intelligence
10.1007/s13748-019-00173-3,A decision-making approach where argumentation added value tackles social choice deficiencies,"Pierre Bisquert, Madalina Croitoru, Christos Kaklamanis, Nikos Karanikolas",2019,1,Progress in Artificial Intelligence
10.1007/s13748-016-0091-3,An improved structure of genetic algorithms for global optimisation,"Son Duy Dao, Kazem Abhary, Romeo Marian",2016,10,Progress in Artificial Intelligence
10.1007/s13748-019-00193-z,predtoolsTS: R package for streamlining time series forecasting,"Francisco Charte, Alberto Vico, María D. Pérez-Godoy, Antonio J. Rivera",2019,3,Progress in Artificial Intelligence
10.1007/s13748-016-0081-5,Random feature weights for regression trees,"Álvar Arnaiz-González, José F. Díez-Pastor, César García-Osorio, Juan J. Rodríguez",2016,4,Progress in Artificial Intelligence
10.1007/s13748-019-00183-1,Adaptive cooperation of multi-swarm particle swarm optimizer-based hidden Markov model,"Abdellatif El Afia, Oussama Aoun, Salvador Garcia",2019,10,Progress in Artificial Intelligence
10.1007/s13748-015-0071-z,"GRASP for sequencing mixed models in an assembly line with work overload, useless time and production regularity","Joaquín Bautista, Rocío Alfaro-Pozo, Cristina Batalla-García",2016,11,Progress in Artificial Intelligence
10.1007/s13748-018-0153-9,A case study at the Nissan Barcelona factory to minimize the ergonomic risk and its standard deviation in a mixed-model assembly line,"Joaquín Bautista-Valhondo, Rocío Alfaro-Pozo",2018,6,Progress in Artificial Intelligence
10.1007/s13748-021-00234-6,Existence versus exploitation: the opacity of backdoors and backbones,"Lane A. Hemaspaandra, David E. Narváez",2021,1,Progress in Artificial Intelligence
10.1007/s13748-016-0101-5,A hybrid dynamic programming for solving a mixed-model sequencing problem with production mix restriction and free interruptions,"Joaquín Bautista, Alberto Cano, Rocío Alfaro-Pozo",2017,6,Progress in Artificial Intelligence
10.1007/s13748-021-00271-1,Natural language query formalization to SPARQL for querying knowledge bases using Rasa,"Divyansh Shankar Mishra, Abhinav Agarwal, B. P. Swathi, K C. Akshay",2022,2,Progress in Artificial Intelligence
10.1007/s13748-014-0057-2,Exploiting spatio-temporal patterns using partial-state reinforcement learning in a synthetically augmented environment,"Salvador E. Barbosa, Mikel D. Petty",2015,1,Progress in Artificial Intelligence
10.1007/s13748-019-00202-1,Comparing two multinomial samples using hierarchical Bayesian models,"A. R. Masegosa, A. Torres, M. Morales, A. Salmerón",2020,0,Progress in Artificial Intelligence
10.1007/s13748-021-00239-1,Deep limitations? Examining expert disagreement over deep learning,Carla Zoe Cremer,2021,7,Progress in Artificial Intelligence
10.1007/s13748-019-00189-9,Scaling up the learning-from-crowds GLAD algorithm using instance-difficulty clustering,"Enrique González Rodrigo, Juan A. Aledo, Jose A. Gamez",2019,0,Progress in Artificial Intelligence
10.1007/s13748-017-0116-6,Comparing multi-objective metaheuristics for solving a three-objective formulation of multiple sequence alignment,"Cristian Zambrano-Vega, Antonio J. Nebro, José García-Nieto, José F. Aldana-Montes",2017,12,Progress in Artificial Intelligence
10.1007/s13748-018-0145-9,A group decision support model based on incomplete hesitant fuzzy linguistic preference relations for mine disaster rescue,"Yongming Song, Jun Hu",2018,5,Progress in Artificial Intelligence
10.1007/s13748-015-0070-0,Learning Bayesian networks with low inference complexity,"Marco Benjumeda, Pedro Larrañaga, Concha Bielza",2016,5,Progress in Artificial Intelligence
10.1007/s13748-016-0090-4,Pattern mining: current status and emerging topics,Jose Maria Luna,2016,4,Progress in Artificial Intelligence
10.1007/s13748-012-0019-5,Two methods for reliable classification of network traffic,"Mikhail Dashevskiy, Zhiyuan Luo",2012,3,Progress in Artificial Intelligence
10.1007/s13748-012-0032-8,Information Theoretic Learning and local modeling for binary and multiclass classification,"Iago Porto-Díaz, David Martínez-Rego, Amparo Alonso-Betanzos, Oscar Fontenla-Romero",2012,3,Progress in Artificial Intelligence
10.1007/s13748-021-00266-y,Fast and robust online-learning facial expression recognition and innate novelty detection capability of extreme learning algorithms,"Sarutte Atsawaraungsuk, Tatpong Katanyukul, Pattarawit Polpinit, Nawapak Eua-anant",2022,0,Progress in Artificial Intelligence
10.1007/s13748-016-0097-x,Fuzzy sets across the natural language generation pipeline,"A. Ramos-Soto, A. Bugarín, S. Barro",2016,14,Progress in Artificial Intelligence
