DOI,Título,Autores,Año,Citas,Revista
10.1162/tacl_a_00191,Locally Non-Linear Learning for Statistical Machine Translation via Discretization and Structured Regularization,Jonathan H. Clark and Chris Dyer and Alon Lavie,2014,2,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00090,Learning to Make Inferences in a Semantic Parsing Task,Kyle Richardson and Jonas Kuhn,2016,0,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00278,Multiattentive Recurrent Neural Network Architecture for Multilingual Readability Assessment,Ion Madrazo Azpiazu and Maria Soledad Pera,2019,10,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00126,A Bayesian Model of Grounded Color Semantics,Brian McMahan and Matthew Stone,2015,10,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00019,Do latent tree learning models identify meaningful structure in sentences?,Adina Williams and Andrew Drozdov* and Samuel R. Bowman,2018,15,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00131,Modelling and Optimizing on Syntactic N-Grams for Statistical Machine Translation,Rico Sennrich,2015,5,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00119,Cross-Document Co-Reference Resolution using Sample-Based Clustering with Knowledge Enrichment,Sourav Dutta and Gerhard Weikum,2015,16,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00087,A Joint Model for Answer Sentence Ranking and Answer Extraction,Md Arafat Sultan and Vittorio Castelli and Radu Florian,2016,4,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00467,Data-driven Model Generalizability in Crosslinguistic Low-resource Morphological Segmentation,Zoey Liu and Emily Prud’hommeaux,2022,0,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00289,Efficient Contextual Representation Learning With Continuous Outputs,Liunian Harold Li and Patrick H. Chen and Cho-Jui Hsieh and Kai-Wei Chang,2019,1,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00007,Towards Evaluating Narrative Quality In Student Writing,Swapna Somasundaran and Michael Flor and Martin Chodorow and Hillary Molloy and Binod Gyawali and Laura McCulla,2018,6,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00283,Tabula Nearly Rasa: Probing the Linguistic Knowledge of Character-level Neural Language Models Trained on Unsegmented Text,Michael Hahn and Marco Baroni,2019,2,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00515,Multi-task Active Learning for Pre-trained Transformer-based Models,Guy Rotman and Roi Reichart,2022,0,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00159,Semantic Parsing of Ambiguous Input through Paraphrasing and Verification,Philip Arthur and Graham Neubig and Sakriani Sakti and Tomoki Toda and Satoshi Nakamura,2015,0,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00519,Neuron-level Interpretation of Deep NLP Models: A Survey,Hassan Sajjad and Nadir Durrani and Fahim Dalvi,2022,0,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00130,An Unsupervised Method for Uncovering Morphological Chains,Karthik Narasimhan and Regina Barzilay and Tommi Jaakkola,2015,15,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00174,Segmentation for Efficient Supervised Language Annotation with an Explicit Cost-Utility Tradeoff,Matthias Sperber and Mirjam Simantzik and Graham Neubig and Satoshi Nakamura and Alex Waibel,2014,2,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00013,Video Captioning with Multi-Faceted Attention,Xiang Long and Chuang Gan and Gerard de Melo,2018,48,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00167,The Language Demographics of Amazon Mechanical Turk,Ellie Pavlick and Matt Post and Ann Irvine and Dmitry Kachaev and Chris Callison-Burch,2014,32,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00229,"Data-driven, PCFG-based and Pseudo-PCFG-based Models for Chinese Dependency Parsing",Weiwei Sun and Xiaojun Wan,2013,4,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00145,Deriving Boolean structures from distributional vectors,German Kruszewski and Denis Paperno and Marco Baroni,2015,11,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00443,Word Representation Learning in Multimodal Pre-Trained Transformers: An Intrinsic Evaluation,Sandro Pezzelle and Ece Takmaz and Raquel Fernández,2021,1,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00384,Dialogue State Tracking with Incremental Reasoning,Lizi Liao and Le Hong Long and Yunshan Ma and Wenqiang Lei and Tat-Seng Chua,2021,4,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00256,Synchronous Bidirectional Neural Machine Translation,Long Zhou and Jiajun Zhang and Chengqing Zong,2019,32,Transactions of the Association for Computational Linguistics
10.1162/tacl_a_00117,Utilizing Temporal Information for Taxonomy Construction,Luu Anh Tuan and Siu Cheung Hui and See Kiong Ng,2016,0,Transactions of the Association for Computational Linguistics
