DOI,Título,Autores,Año,Citas,Revista
10.1515/jisys-2022-0074,The application of graphic language in animation visual guidance system under intelligent environment,Luning Zhao,2022,0,Journal of Intelligent Systems
10.1515/jisys-2022-0058,"A review on voice pathology: Taxonomy, diagnosis, medical procedures and detection techniques, open challenges, limitations, and recommendations for future directions","Nuha Qais Abdulmajeed, Belal Al-Khateeb, Mazin Abed Mohammed",2022,1,Journal of Intelligent Systems
10.1515/jisys-2022-0060,CRNet: Context feature and refined network for multi-person pose estimation,"Lanfei Zhao, Zhihua Chen",2022,0,Journal of Intelligent Systems
10.1515/jisys.2000.10.5-6.579,Modeling the Dynamics of Using a Collaborative Hypertext,"Chaomei Chen, Roy Rada",2000,0,Journal of Intelligent Systems
10.1515/jisys.2008.17.1-3.157,An Improved and Efficient Rotation Invariant Thinning Algorithm for Binary Document Images,"V.N. Manjunath Aradhya, G. Hemantha Kumar, P. Shivakumara",2008,0,Journal of Intelligent Systems
10.1515/jisys-2018-0120,Improvements in Spoken Query System to Access the Agricultural Commodity Prices and Weather Information in Kannada Language/Dialects,"Thimmaraja G. Yadava, H.S. Jayanna",2018,1,Journal of Intelligent Systems
10.1515/jisys.2008.17.s1.57,Automatic Regularization of Multilayered-Perceptron Training by Weight Orthogonalization,"Balasundram P. Amavasai, P.I. Rockett",2008,0,Journal of Intelligent Systems
10.1515/jisys.2010.19.1.47,Combining Rough Set and Evolutionary Approach for Automated Discovery of Censored Production Rules with Fuzzy Hierarchy,"n.m. Saroj, K.K. Bharadwaj",2010,0,Journal of Intelligent Systems
10.1515/jisys-2016-0060,A Novel Global ABC Algorithm with Self-Perturbing,"Shuliang Zhou, Dongqing Feng, Panpan Ding",2017,1,Journal of Intelligent Systems
10.1515/jisys-2015-0058,Multi-Level Refinement Algorithm of Weighted Hypergraph Partitioning Problem,"Ming Leng, Ling-yu Sun, Kai-qiang Guo",2017,0,Journal of Intelligent Systems
10.1515/jisys-2011-0021,Natural Deduction System in Paraconsistent Setting: Proof Search for PCont,"Alexander Bolotov, Vasilyi Shangin",2012,6,Journal of Intelligent Systems
10.1515/jisys.2010.19.3.227,Use of Particle Swarm Optimization for Optimal Design of Composite Channels,"S. Adarsh, M. Janga Reddy",2010,3,Journal of Intelligent Systems
10.1515/jisys.2010.19.4,n.m.,,2010,0,Journal of Intelligent Systems
10.1515/jisys-2017-0381,A Framework for Image Alignment of TerraSAR-X Images Using Fractional Derivatives and View Synthesis Approach,"B. Sirisha, B. Sandhya, Chandra Sekhar Paidimarry, A.S. Chandrasekhara Sastry",2018,0,Journal of Intelligent Systems
10.1515/jisys.2011.008,Eigen Based Traffic Sign Recognition Which Aids In Achieving Intelligent Speed Adaptation,"Hasan Fleyeh, Erfan Davami",2011,1,Journal of Intelligent Systems
10.1515/jisys.2000.10.1,n.m.,,2000,0,Journal of Intelligent Systems
10.1515/jisys-2012-0020,Speaker Recognition in Uncontrolled Environment: A Review,"Narendra Karamangala, Ramaswamy Kumaraswamy",2013,2,Journal of Intelligent Systems
