DOI,Título,Autores,Año,Citas,Revista
10.1007/s10849-019-09312-4,Natural Density and the Quantifier “Most”,Selçuk Topal and Ahmet Çevik,2020,1,"Journal of Logic, Language and Information"
10.1023/b:jlli.0000028420.17351.86,"Computational Approaches to Language Acquisition, Michael R. Brent, ed.",Makoto Kanazawa,2004,0,"Journal of Logic, Language and Information"
10.1007/s10849-005-4510-2,"Local Logics, Non-Monotonicity and Defeasible Argumentation",Gustavo A. Bodanza and Fernando A. Tohm�,2005,1,"Journal of Logic, Language and Information"
10.1023/a:1017588004618,n.m.,Joeri Engelfriet and Catholijn M. Jonker and Jan Treur,2002,11,"Journal of Logic, Language and Information"
10.1007/s10849-014-9191-2,Complement Polyvalence and Permutation in English,Brendan S. Gillon,2014,0,"Journal of Logic, Language and Information"
10.1007/s10849-017-9252-4,Logical Dialogues with Explicit Preference Profiles and Strategy Selection,Emmanuel J. Genot and Justine Jacot,2017,1,"Journal of Logic, Language and Information"
10.1007/s10849-007-9050-5,Dialogue Coherence: A Generation Framework,Robbert-Jan Beun and Rogier M. van Eijk,2007,1,"Journal of Logic, Language and Information"
10.1007/s10849-004-0750-9,Index of Authors of Volume 13,,2004,0,"Journal of Logic, Language and Information"
10.1007/s10849-015-9214-7,Logic Reduced To Bare (Proof-Theoretical) Bones,Jaroslav Peregrin,2015,2,"Journal of Logic, Language and Information"
10.1007/s10849-013-9179-3,On the Origin of Ambiguity in Efficient Communication,Jordi Fortuny and Bernat Corominas-Murtra,2013,4,"Journal of Logic, Language and Information"
10.1023/a:1017912606063,n.m.,Reinhard Muskens,2001,9,"Journal of Logic, Language and Information"
10.1007/s10849-016-9237-8,Strengthening Brady’s Paraconsistent 4-Valued Logic BN4 with Truth-Functional Modal Operators,José M. Méndez and Gemma Robles,2016,5,"Journal of Logic, Language and Information"
10.1007/s10849-005-9005-7,On Nonparametric Predictive Inference and Objective Bayesianism,F. P. A. Coolen,2006,71,"Journal of Logic, Language and Information"
10.1023/a:1017248232213,n.m.,,2000,0,"Journal of Logic, Language and Information"
10.1023/a:1017216524910,n.m.,,2000,0,"Journal of Logic, Language and Information"
10.1007/s10849-015-9227-2,Set Venn Diagrams Applied to Inclusions and Non-inclusions,Renata de Freitas and Petrucio Viana,2015,0,"Journal of Logic, Language and Information"
10.1007/s10849-006-9016-z,A descriptive characterisation of linear languages,Tore Langholm,2006,1,"Journal of Logic, Language and Information"
10.1007/s10849-015-9215-6,Not Only Barbara,Paul J. E. Dekker,2015,9,"Journal of Logic, Language and Information"
10.1007/s10849-006-9017-y,Logic in Computer Science: Modelling and Reasoning About Systems,Valentin Goranko,2006,2,"Journal of Logic, Language and Information"
10.1023/a:1008306230281,n.m.,Lawrence S. Moss,2000,0,"Journal of Logic, Language and Information"
10.1023/a:1008311207953,n.m.,Selmer Bringsjord and Clarke Caporale and Ron Noel,2000,6,"Journal of Logic, Language and Information"
10.1023/a:1021146424417,n.m.,,2003,0,"Journal of Logic, Language and Information"
10.1007/s10849-021-09335-w,A Dynamic Analysis of Minimizers in Chinese lian…dou Construction,Xiaolong Yang and Yicheng Wu,2021,0,"Journal of Logic, Language and Information"
10.1007/s10849-012-9161-5,Interpreting Probability,Timothy Childers and Ondrej Majer,2012,0,"Journal of Logic, Language and Information"
10.1023/a:1019910613297,n.m.,,2002,0,"Journal of Logic, Language and Information"
10.1007/s10849-008-9069-2,Meaning and Dialogue Coherence: A Proof-theoretic Investigation,Paul Piwek,2008,0,"Journal of Logic, Language and Information"
10.1007/s10849-006-9014-1,Knowledge Condition Games,Sieuwert van Otterloo and Wiebe Van Der Hoek and Michael Wooldridge,2006,4,"Journal of Logic, Language and Information"
10.1007/s10849-004-2117-7,A Mathematical Analysis of Pānini’s Śivasūtras,Wiebke Petersen,2004,5,"Journal of Logic, Language and Information"
10.1023/a:1024199714724,n.m.,Robin Cooper,2003,0,"Journal of Logic, Language and Information"
10.1007/s10849-018-9271-9,Strategic Conversations Under Imperfect Information: Epistemic Message Exchange Games,Nicholas Asher and Soumya Paul,2018,6,"Journal of Logic, Language and Information"
10.1023/a:1008359116755,n.m.,Rajeev Goré,2000,0,"Journal of Logic, Language and Information"
10.1023/b:jlli.0000028421.66183.6b,"Agency and Deontic Logic, J.F. Horty",Heinrich Wansing,2004,0,"Journal of Logic, Language and Information"
10.1023/a:1015542413718,n.m.,Theo M.V. Janssen,2002,19,"Journal of Logic, Language and Information"
