DOI,Título,Autores,Año,Citas,Revista
10.1016/s2214-5796(18)30166-7,Editorial Board,,2018,0,Big Data Research
10.1016/j.bdr.2021.100208,Identification of Top-K Influencers Based on Upper Confidence Bound and Local Structure,Mohammed Alshahrani and Fuxi Zhu and Soufiana Mekouar and Mohammed Yahya Alghamdi and Shichao Liu,2021,0,Big Data Research
10.1016/j.bdr.2019.100123,"Big Data Exploration, Visualization and Analytics",Nikos Bikakis and George Papastefanatos and Olga Papaemmanouil,2019,11,Big Data Research
10.1016/j.bdr.2018.04.002,A Dynamic Neural Network Architecture with Immunology Inspired Optimization for Weather Data Forecasting,Abir Jaafar Hussain and Panos Liatsis and Mohammed Khalaf and Hissam Tawfik and Haya Al-Asker,2018,11,Big Data Research
10.1016/j.bdr.2018.05.005,evoStream – Evolutionary Stream Clustering Utilizing Idle Times,Matthias Carnein and Heike Trautmann,2018,19,Big Data Research
10.1016/j.bdr.2021.100189,Social Media Data and Users' Preferences: A Statistical Analysis to Support Marketing Communication,Elisa Arrigo and Caterina Liberati and Paolo Mariani,2021,14,Big Data Research
10.1016/j.bdr.2021.100251,Visual Exploration of Anomalies in Cyclic Time Series Data with Matrix and Glyph Representations,Josef Suschnigg and Belgin Mutlu and Georgios Koutroulis and Vedran Sabol and Stefan Thalmann and Tobias Schreck,2021,1,Big Data Research
10.1016/j.bdr.2017.10.004,A Parallel MapReduce Algorithm to Efficiently Support Itemset Mining on High Dimensional Data,Daniele Apiletti and Elena Baralis and Tania Cerquitelli and Paolo Garza and Fabio Pulvirenti and Pietro Michiardi,2017,14,Big Data Research
10.1016/j.bdr.2017.10.003,Community Detection Algorithm for Big Social Networks Using Hybrid Architecture,Rahil Sharma and Suely Oliveira,2017,15,Big Data Research
10.1016/j.bdr.2017.06.002,Fast Deep Convolutional Face Detection in the Wild Exploiting Hard Sample Mining,Danai Triantafyllidou and Paraskevi Nousi and Anastasios Tefas,2018,36,Big Data Research
10.1016/j.bdr.2015.01.007,Hierarchical Collective I/O Scheduling for High-Performance Computing,Jialin Liu and Yu Zhuang and Yong Chen,2015,8,Big Data Research
