DOI,Título,Autores,Año,Citas,Revista
10.1109/tnnls.2022.3153955,Image Matting With Deep Gaussian Process,Yuanjie Zheng and Yunshuai Yang and Tongtong Che and Sujuan Hou and Wenhui Huang and Yue Gao and Ping Tan,2022,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2014.2324471,2014 IEEE Symposium Series on Computational Intelligience,,2014,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2013.2263433,IEEE Transactions on Neural Networks and Learning Systems publication information,,2013,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3110682,Learning Social Spatio-Temporal Relation Graph in the Wild and a Video Benchmark,Haoran Wang and Licheng Jiao and Fang Liu and Lingling Li and Xu Liu and Deyi Ji and Weihao Gan,2021,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2019.2927241,On Optimal Time-Varying Feedback Controllability for Probabilistic Boolean Control Networks,Mitsuru Toyoda and Yuhu Wu,2020,17,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3053591,Neighborhood Geometric Structure-Preserving Variational Autoencoder for Smooth and Bounded Data Sources,Xingyu Chen and Chunyu Wang and Xuguang Lan and Nanning Zheng and Wenjun Zeng,2022,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3119543,Cellular Automata Can Reduce Memory Requirements of Collective-State Computing,Denis Kleyko and Edward Paxon Frady and Friedrich T. Sommer,2022,3,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3232635,Neuro-Optimal Event-Triggered Impulsive Control for Stochastic Systems via ADP,Mingming Liang and Derong Liu,2023,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3222263,Inverse Adversarial Diversity Learning for Network Ensemble,Sanping Zhou and Jinjun Wang and Le Wang and Xingyu Wan and Siqi Hui and Nanning Zheng,2023,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3233093,Balanced Federated Semisupervised Learning With Fairness-Aware Pseudo-Labeling,Xiao-Xiang Wei and Hua Huang,2023,0,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2020.2979688,Convergence Analysis of Adaptive Exponential Functional Link Network,Vinal Patel and Sankha Subhra Bhattacharjee and Nithin V. George,2021,8,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3071030,A Novel Formulation of Trace Ratio Linear Discriminant Analysis,Jingyu Wang and Lin Wang and Feiping Nie and Xuelong Li,2022,2,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2018.2843798,Semisupervised Learning With Parameter-Free Similarity of Label and Side Information,Rui Zhang and Feiping Nie and Xuelong Li,2019,12,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2022.3175720,Simulation-Aided Handover Prediction From Video Using Recurrent Image-to-Motion Networks,Matija Mavsar and Barry Ridge and Rok Pahic and Jun Morimoto and Ales Ude,2022,1,IEEE Transactions on Neural Networks and Learning Systems
10.1109/tnnls.2021.3085358,Reinforcement Learning Based Optimal Tracking Control Under Unmeasurable Disturbances With Application to HVAC Systems,Syed Ali Asad Rizvi and Amanda J. Pertzborn and Zongli Lin,2022,5,IEEE Transactions on Neural Networks and Learning Systems
