DOI,Título,Autores,Año,Citas,Revista
10.1007/s10462-007-9047-0,About the authors,,2007,0,Artificial Intelligence Review
10.1023/a:1016339629957,n.m.,,2002,0,Artificial Intelligence Review
10.1007/s10462-008-9070-9,Editorial: the 18th artificial intelligence and cognitive science conference (AICS-07),Michael G. Madden and Sarah Jane Delany,2007,0,Artificial Intelligence Review
10.1007/s10462-008-9077-2,The evolution of donators in a common-pool resource problem,Dara Curran and Colm O’Riordan and Humphrey Sorensen,2007,0,Artificial Intelligence Review
10.1023/a:1022147226531,n.m.,,2003,0,Artificial Intelligence Review
10.1007/s10462-013-9413-z,A set of novel mining tools for efficient biological knowledge discovery,Zafeiria-Marina Ioannou and Christos Makris and George P. Patrinos and Giannis Tzimas,2014,1,Artificial Intelligence Review
10.1023/a:1026474800422,n.m.,David N. Chin,2000,1,Artificial Intelligence Review
10.1023/a:1020727823217,n.m.,,2002,0,Artificial Intelligence Review
10.1023/b:aire.0000006652.27844.8c,About the Authors,,2003,0,Artificial Intelligence Review
10.1007/s10462-022-10332-z,Deep learning on multi-view sequential data: a survey,Zhuyang Xie and Yan Yang and Yiling Zhang and Jie Wang and Shengdong Du,2022,0,Artificial Intelligence Review
10.1007/s10462-011-9225-y,A survey on feature extraction for pattern recognition,Shifei Ding and Hong Zhu and Weikuan Jia and Chunyang Su,2012,74,Artificial Intelligence Review
10.1007/s10462-023-10433-3,Detection of cross-site scripting (XSS) attacks using machine learning techniques: a review,Jasleen Kaur and Urvashi Garg and Gourav Bathla,2023,0,Artificial Intelligence Review
10.1007/s10462-008-9072-7,Using relaxations to improve search in distributed constraint optimisation,David A. Burke and Kenneth N. Brown,2007,1,Artificial Intelligence Review
10.1007/s10462-010-9181-y,Context-sensitive refinements for stochastic optimisation algorithms in inductive logic programming,Petr Buryan and Jiří Kubalík,2011,0,Artificial Intelligence Review
10.1007/s10462-004-4329-2,Counting for Satisfiability by Inverting Resolution,?tefan Andrei,2004,8,Artificial Intelligence Review
10.1023/a:1011616123733,n.m.,Tom Doris,2001,0,Artificial Intelligence Review
10.1007/s10462-009-9139-0,A unified framework for improving the accuracy of all holistic face identification algorithms,Liang Chen and Naoyuki Tokuda,2010,8,Artificial Intelligence Review
10.1023/a:1022673724853,n.m.,,2003,0,Artificial Intelligence Review
10.1007/s10462-012-9358-7,Monitoring web services’ quality of service: a literature review,Mohd Hilmi Hasan and Jafreezal Jaafar and Mohd Fadzil Hassan,2014,7,Artificial Intelligence Review
10.1007/s10462-010-9160-3,Learning patterns in ambient intelligence environments: a survey,Asier Aztiria and Alberto Izaguirre and Juan Carlos Augusto,2010,78,Artificial Intelligence Review
10.1023/a:1006669526043,n.m.,Patrick Olivier,2001,5,Artificial Intelligence Review
10.1023/b:aire.0000020865.73561.bc,Hebrew Computational Linguistics: Past and Future,Shuly Wintner,2004,28,Artificial Intelligence Review
10.1007/s10462-014-9425-3,Directed acyclic graph support vector machines in classification of benthic macroinvertebrate samples,Henry Joutsijoki and Markku Siermala and Martti Juhola,2015,5,Artificial Intelligence Review
10.1023/b:aire.0000036301.92865.39,Contents of Volume 21,,2004,0,Artificial Intelligence Review
10.1007/s10462-011-9301-3,Fast background subtraction using static and dynamic gates,Manuel Alvar and Álvaro Sánchez and Álvaro Arranz,2014,2,Artificial Intelligence Review
10.1007/s10462-022-10357-4,Fotomics: fourier transform-based omics imagification for deep learning-based cell-identity mapping using single-cell omics profiles,Seid Miad Zandavi and Derong Liu and Vera Chung and Ali Anaissi and Fatemeh Vafaee,2022,0,Artificial Intelligence Review
10.1007/s10462-021-10012-4,Adaptive constraint propagation in constraint satisfaction: review and evaluation,Kostas Stergiou,2021,0,Artificial Intelligence Review
10.1023/a:1020743321429,n.m.,Derek Bridge and Alex Ferguson,2002,19,Artificial Intelligence Review
10.1007/s10462-011-9300-4,Scaffolding student online discussions using past discussions: PedaBot studies,Jihie Kim and Erin Shaw,2014,2,Artificial Intelligence Review
10.1007/s10462-020-09905-7,Visual tracking using convolutional features with sparse coding,Mohammed Y. Abbass and Ki-Chul Kwon and Nam Kim and Safey A. Abdelwahab and Fathi E. Abd El-Samie and Ashraf A. M. Khalaf,2021,2,Artificial Intelligence Review
10.1007/s10462-019-09728-1,An extended TOPSIS method based on ordered fuzzy numbers for group decision making,Dariusz Kacprzak,2020,13,Artificial Intelligence Review
