DOI,Título,Autores,Año,Citas,Revista
10.1162/evco.2008.16.issue-4,n.m.,,2008,0,Evolutionary Computation
10.1162/1063656043138888,Electronic Calendar and Other EC-Related Resources,,2004,0,Evolutionary Computation
10.1162/106365604323142842,On the Design and Analysis of Competent Selecto-recombinative GAs,Steven van Dijk and Dirk Thierens and Mark de Berg,2004,2,Evolutionary Computation
10.1162/evco_a_00191,A New Cost Function for Evolution of S-Boxes,Stjepan Picek and Marko Cupic and Leon Rotim,2016,38,Evolutionary Computation
10.1162/106365600750078817,Adaptive Linkage Crossover,Ayed A. Salman and Kishan Mehrotra and Chilukuri K. Mohan,2000,7,Evolutionary Computation
10.1162/106365605774666859,Editorial Introduction,,2005,0,Evolutionary Computation
10.1162/evco.2001.9.issue-1,n.m.,,2001,0,Evolutionary Computation
10.1162/evco.2000.8.3.371,Electronic Calendar and Other EC-Related Resources,,2000,0,Evolutionary Computation
10.1162/evco_x_00140,Call for Papers,,2014,0,Evolutionary Computation
10.1162/evco_a_00090,A Study of Redundancy and Neutrality in Evolutionary Optimization,Marisol B. Correia,2013,7,Evolutionary Computation
10.1162/evco.2007.15.issue-1,n.m.,,2007,0,Evolutionary Computation
10.1162/1063656043138932,Acknowledgments to Reviewers,,2004,0,Evolutionary Computation
10.1162/evco_a_00238,[REMOVED] A Model-based Framework for Black-box Problem Comparison Using Gaussian Processes,,2018,0,Evolutionary Computation
10.1162/evco_a_00008,Evolutionary Dynamics of Tag Mediated Cooperation with Multilevel Selection,T. Soule,2011,1,Evolutionary Computation
10.1162/evco_a_00220,Opposition-Based Memetic Algorithm and Hybrid Approach for Sorting Permutations by Reversals,José Luis Soncco-Álvarez and Daniel M. Muñoz and Mauricio Ayala-Rincón,2019,7,Evolutionary Computation
10.1162/evco_a_00215,Leveraging TSP Solver Complementarity through Machine Learning,Pascal Kerschke and Lars Kotthoff and Jakob Bossek and Holger H. Hoos and Heike Trautmann,2018,39,Evolutionary Computation
