DOI,Título,Autores,Año,Citas,Revista
10.18280/ts.370404,Determination of the Appropriate Kernel Structure in Electroencephalography Analysis of Alcoholic Subjects,Omer Akgun,2020,0,Traitement du Signal
10.18280/ts.380610,A Framework for Cross-Modality Guided Contrast Enhancement of CT Liver Using MRI,Ahmed Elaraby and Ayman Taha,2021,0,Traitement du Signal
10.18280/ts.380525,FAFNet: A False Alarm Filter Algorithm for License Plate Detection Based on Deep Neural Network,Hui Huang and Zhe Li,2021,0,Traitement du Signal
10.3166/ts.30.343-365,Capteur d’images à grande dynamique et compression intégrée pour technologie 3D,Fadoua Guezzi-Messaoud and Antoine Dupret and Arnaud Peizerat and Yves Blanchard,2013,0,Traitement du signal
10.3166/ts.32.417-442,Contrôle gestuel de la synthèse vocale. Les instruments Cantor Digitalis et Digitartic,Lionel Feugère and Christophe D'Allesandro and Adrien Bartoli,2015,1,Traitement du signal
10.18280/ts.380511,Deep Learning Based Super Resolution and Classification Applications for Neonatal Thermal Images,Fatih M. Senalp and Murat Ceylan,2021,4,Traitement du Signal
10.18280/ts.370105,Human Action Recognition in Video Sequences Using Deep Belief Networks,Mehrez Abdellaoui and Ali Douik,2020,12,Traitement du Signal
10.18280/ts.380214,A New Approach for Eye-Blink to Speech Conversion by Dynamic Time Warping,Güneş Ekim and Ayten Atasoy and Nuri İkizler,2021,3,Traitement du Signal
10.18280/ts.360602,Novel Method for Brain Tumor Classification Based on Use of Image Entropy and Seven Hu’s Invariant Moments,Salim Ouchtati and Abdelhakim Chergui and Sébastien Mavromatis and Belmeguenai Aissa and Djemili Rafik and Jean Sequeira,2019,10,Traitement du Signal
10.18280/ts.360612,Robust Optimized Discrete Wavelet Transform-Singular Value Decomposition Based Video Watermarking,Swaraja Kuraparthi and Meenakshi Kollati and Padmavathi Kora,2019,21,Traitement du Signal
10.3166/ts.27.161-187,"Parallélisation d'opérateurs de TI : multi-cœurs, Cell ou GPU ?",Antoine Pédron and Florence Laguzet and Tarik Saidani and Pierre Courbin and Lionel Lacassagne and Michèle Gouiffrès,2010,2,Traitement du signal
10.18280/ts.390123,A Novel Ensemble Bagging Classification Method for Breast Cancer Classification Using Machine Learning Techniques,Naga Deepti Ponnaganti and Raju Anitha,2022,0,Traitement du Signal
