Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2006 JIF
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST ,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1292,1.16
AI MAGAZINE,AI MAG ,0738-4602,2371-9621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",642,1.0
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL ,0954-898X,1361-6536,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",599,1.0
N/A,REAL-TIME IMAGING ,1077-2014,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",266,0.986
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL ,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",884,0.957
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT ,0167-8655,1872-7344,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2418,0.952
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV ,0269-8889,1469-8005,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",440,0.93
N/A,IEEE T SYST MAN CY C ,1094-6977,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",525,0.885
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL ,0952-1976,1873-6769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",578,0.866
NEUROCOMPUTING,NEUROCOMPUTING ,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1830,0.86
APPLIED SOFT COMPUTING,APPL SOFT COMPUT ,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",152,0.849
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST ,0219-1377,0219-3116,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",214,0.833
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST ,0921-8890,1872-793X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",777,0.832
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS ,0219-6220,1793-6845,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",101,0.818
CONSTRAINTS,CONSTRAINTS ,1383-7133,1572-9354,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",153,0.759
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL ,1012-2443,1573-7470,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",448,0.756
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT ,1370-4621,1573-773X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",349,0.753
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST ,0925-9902,1573-7675,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",337,0.75
MECHATRONICS,MECHATRONICS ,0957-4158,0957-4158,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",573,0.745
JOURNAL OF HEURISTICS,J HEURISTICS ,1381-1231,1572-9397,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",352,0.74
International Journal of Innovative Computing Information and Control,INT J INNOV COMPUT I ,1349-4198,1349-418X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",54,0.724
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV ,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",297,0.694
COMPUTER SPEECH AND LANGUAGE,COMPUT SPEECH LANG ,0885-2308,1095-8363,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",383,0.689
