Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2012 JIF
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6237,5.484
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",992,5.054
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5667,4.81
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",24947,4.795
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",495,4.629
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2375,4.104
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3238,4.087
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9766,3.766
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8984,3.623
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6024,3.42
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",421,3.37
N/A,IEEE T SYST MAN CY B,1083-4419,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5821,3.236
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13814,3.199
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",884,2.966
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1573-756X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1684,2.877
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13229,2.632
N/A,IEEE T SYST MAN CY C,1094-6977,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2037,2.548
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,1873-3239,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4880,2.291
Information Fusion,INFORM FUSION,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",840,2.262
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3895,2.201
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5407,2.194
N/A,IEEE T AUTON MENT DE,1943-0604,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",155,2.17
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3117,2.14
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1944,2.109
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1872-8138,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3572,1.959
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,0886-9383,1099-128X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2658,1.937
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1626,1.93
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5802,1.927
AUTONOMOUS ROBOTS,AUTON ROBOT,0929-5593,1573-7527,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1240,1.908
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4094,1.892
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13933,1.854
APPLIED INTELLIGENCE,APPL INTELL,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",927,1.853
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,1573-7683,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1207,1.767
NEURAL COMPUTATION,NEURAL COMPUT,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7366,1.76
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,0888-613X,1873-4731,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1920,1.729
N/A,IEEE T COMP INTEL AI,1943-068X,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",134,1.694
