Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery","WIRES DATA MIN KNOWL","1942-4787","1942-4795","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,821","7.558","Q1","0.89","8.33"%,
"Advanced Intelligent Systems","ADV INTELL SYST-GER","N/A","2640-4567","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,841","7.298","Q1","1.19","85.9"%,
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","0956-5515","1572-8145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,649","7.136","Q1","1.48","9.87"%,
"Artificial Intelligence in Medicine","ARTIF INTELL MED","0933-3657","1873-2860","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,314","7.011","Q1","1.26","11"%,
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","0167-9236","1873-5797","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","15,272","6.969","Q1","1.38","8.42"%,
"IEEE INTELLIGENT SYSTEMS","IEEE INTELL SYST","1541-1672","1941-1294","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,316","6.744","Q1","1.14","1.32"%,
"Complex & Intelligent Systems","COMPLEX INTELL SYST","2199-4536","2198-6053","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,941","6.7","Q1","1.13","99.61"%,
"International Journal of Neural Systems","INT J NEURAL SYST","0129-0657","1793-6462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,891","6.325","Q1","1.12","8.29"%,
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","1069-2509","1875-8835","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","891","6.137","Q2","1.37","2.67"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","N/A","2632-2153","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","791","6.013","Q2","1.02","100"%,
"NEUROCOMPUTING","NEUROCOMPUTING","0925-2312","1872-8286","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","54,651","5.779","Q2","1.11","2.35"%,
"MACHINE LEARNING","MACH LEARN","0885-6125","1573-0565","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","30,019","5.414","Q2","0.85","37.5"%,
"DATA MINING AND KNOWLEDGE DISCOVERY","DATA MIN KNOWL DISC","1384-5810","1573-756X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,039","5.406","Q2","0.87","34.47"%,
"MINDS AND MACHINES","MIND MACH","0924-6495","1572-8641","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,180","5.339","Q2","0.81","50.6"%,
"Fuzzy Optimization and Decision Making","FUZZY OPTIM DECIS MA","1568-4539","1573-2908","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,393","5.274","Q2","1.03","1.16"%,
"JOURNAL OF MACHINE LEARNING RESEARCH","J MACH LEARN RES","1532-4435","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","47,705","5.177","Q2","0.99","0"%,
"NEURAL COMPUTING & APPLICATIONS","NEURAL COMPUT APPL","0941-0643","1433-3058","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23,402","5.102","Q2","1.05","6.25"%,
"APPLIED INTELLIGENCE","APPL INTELL","0924-669X","1573-7497","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8,493","5.019","Q2","0.93","5.02"%,
"IEEE Transactions on Intelligent Vehicles","IEEE T INTELL VEHICL","2379-8858","2379-8904","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,666","5.009","Q2","1.13","5"%,
"International Journal of Interactive Multimedia and Artificial Intelligence","INT J INTERACT MULTI","1989-1660","1989-1660","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,128","4.936","Q2","0.9","100"%,
"Cognitive Computation","COGN COMPUT","1866-9956","1866-9964","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,904","4.89","Q2","1.03","14.12"%,
"COMPUTER VISION AND IMAGE UNDERSTANDING","COMPUT VIS IMAGE UND","1077-3142","1090-235X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,562","4.886","Q2","1.08","7.8"%,
"IEEE Transactions on Emerging Topics in Computational Intelligence","IEEE T EM TOP COMP I","2471-285X","2471-285X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,266","4.851","Q2","1.15","1.64"%,
"EVOLUTIONARY COMPUTATION","EVOL COMPUT","1063-6560","1530-9304","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,763","4.766","Q2","1.07","4.55"%,
"PATTERN RECOGNITION LETTERS","PATTERN RECOGN LETT","0167-8655","1872-7344","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","18,442","4.757","Q2","0.91","3.24"%,
"IEEE Transactions on Cognitive and Developmental Systems","IEEE T COGN DEV SYST","2379-8920","2379-8939","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,276","4.546","Q2","0.85","2.94"%,
"Cognitive Systems Research","COGN SYST RES","1389-0417","2214-4366","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,101","4.541","Q2","1","7.69"%,
"INTERNATIONAL JOURNAL OF APPROXIMATE REASONING","INT J APPROX REASON","0888-613X","1873-4731","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,461","4.452","Q2","0.83","6.52"%,
"International Journal of Machine Learning and Cybernetics","INT J MACH LEARN CYB","1868-8071","1868-808X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,115","4.377","Q2","0.85","2.31"%,
"Egyptian Informatics Journal","EGYPT INFORM J","1110-8665","2090-4754","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,037","4.195","Q2","0.96","93.33"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","0169-7439","1873-3239","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","12,344","4.175","Q2","1.1","6.94"%,
"IEEE Transactions on Human-Machine Systems","IEEE T HUM-MACH SYST","2168-2291","2168-2305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,333","4.124","Q2","0.67","11.06"%,
"International Journal of Fuzzy Systems","INT J FUZZY SYST","1562-2479","2199-3211","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,795","4.085","Q2","1.01","1.91"%,
"International Journal on Document Analysis and Recognition","INT J DOC ANAL RECOG","1433-2833","1433-2825","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","930","3.87","Q2","0.56","12"%,
"IMAGE AND VISION COMPUTING","IMAGE VISION COMPUT","0262-8856","1872-8138","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,254","3.86","Q2","0.99","3.59"%,
"Big Data Research","BIG DATA RES","2214-5796","2214-5796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","740","3.739","Q2","0.75","12.71"%,
"SOFT COMPUTING","SOFT COMPUT","1432-7643","1433-7479","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","17,142","3.732","Q2","0.8","3.59"%,
"Swarm Intelligence","SWARM INTELL-US","1935-3812","1935-3820","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,021","3.727","Q2","0.98","38.1"%,
"ROBOTICS AND AUTONOMOUS SYSTEMS","ROBOT AUTON SYST","0921-8890","1872-793X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8,569","3.7","Q2","0.84","5.87"%,
"Journal of Ambient Intelligence and Humanized Computing","J AMB INTEL HUM COMP","1868-5137","1868-5145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","8,357","3.662","Q2","0.94","3.22"%,
"JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH","J ARTIF INTELL RES","1076-9757","1943-5037","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,528","3.635","Q2","0.69","25.41"%,
"Memetic Computing","MEMET COMPUT","1865-9284","1865-9292","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","814","3.577","Q2","1.08","4.82"%,
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","0219-6220","1793-6845","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,705","3.508","Q2","0.58","2.29"%,
"Frontiers in Neurorobotics","FRONT NEUROROBOTICS","1662-5218","1662-5218","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,087","3.493","Q2","0.64","99.49"%,
"INTELLIGENT AUTOMATION AND SOFT COMPUTING","INTELL AUTOM SOFT CO","1079-8587","2326-005X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,307","3.401","Q3","0.42","75.65"%,
"International Journal of Bio-Inspired Computation","INT J BIO-INSPIR COM","1758-0366","1758-0374","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,295","3.295","Q3","0.81","0"%,
"NEURAL COMPUTATION","NEURAL COMPUT","0899-7667","1530-888X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","22,519","3.278","Q3","0.5","5.2"%,
"AUTONOMOUS ROBOTS","AUTON ROBOT","0929-5593","1573-7527","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,629","3.255","Q3","0.87","21"%,
"COMPUTER SPEECH AND LANGUAGE","COMPUT SPEECH LANG","0885-2308","1095-8363","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,014","3.252","Q3","0.58","9.62"%,
"JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS","J INTELL ROBOT SYST","0921-0296","1573-0409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,397","3.129","Q3","0.72","12.57"%,
"Semantic Web","SEMANT WEB","1570-0844","2210-4968","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,355","3.105","Q3","0.78","5.97"%,
"MACHINE VISION AND APPLICATIONS","MACH VISION APPL","0932-8092","1432-1769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,529","2.983","Q3","0.52","10.04"%,
