Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"AI COMMUNICATIONS","AI COMMUN","0921-7126","1875-8452","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","553","1.029","Q4","0.16","0"%,
"INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS","INT J UNCERTAIN FUZZ","0218-4885","1793-6411","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,001","1.027","Q4","0.25","1.14"%,
"ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE","ANN MATH ARTIF INTEL","1012-2443","1573-7470","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,087","1.019","Q4","0.34","19.39"%,
"INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING","INT J SOFTW ENG KNOW","0218-1940","1793-6403","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","640","1.007","Q4","0.31","3.67"%,
"International Arab Journal of Information Technology","INT ARAB J INF TECHN","1683-3198","1683-3198","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","839","0.967","Q4","0.2","48.82"%,
"Turkish Journal of Electrical Engineering and Computer Sciences","TURK J ELECTR ENG CO","1300-0632","1303-6203","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,004","0.853","Q4","0.2","0"%,
"Advances in Electrical and Computer Engineering","ADV ELECTR COMPUT EN","1582-7445","1844-7600","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","435","0.825","Q4","0.23","91.78"%,
"Information Technology and Control","INF TECHNOL CONTROL","1392-124X","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","326","0.813","Q4","0.23","98.65"%,
"JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING","J MULT-VALUED LOG S","1542-3999","1542-3980","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","551","0.78","Q4","0.47","0"%,
"JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL","J COMPUT SYS SC INT+","1064-2307","1555-6530","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","542","0.722","Q4","0.15","0"%,
"Journal of Logic Language and Information","J LOGIC LANG INFORM","0925-8531","1572-9583","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","277","0.617","Q4","0.64","40.58"%,
"CONSTRAINTS","CONSTRAINTS","1383-7133","1572-9354","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","332","0.583","Q4","0.41","19.23"%,
"COMPUTING AND INFORMATICS","COMPUT INFORM","1335-9150","1335-9150","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","366","0.455","Q4","0.11","0"%,
"Malaysian Journal of Computer Science","MALAYS J COMPUT SCI","0127-9084","0127-9084","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","179","0.436","Q4","0.13","0"%,
"CONNECTION SCIENCE","CONNECT SCI","0954-0091","1360-0494","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","921","N/A","N/A","0.7","29.37"%,
