Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2018 JIF
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","55,828",17.73
IEEE Transactions on Neural Networks and Learning Systems,IEEE Transactions on Neural Networks and Learning Systems,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","27,444",11.683
Information Fusion,Information Fusion,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","4,746",10.716
IEEE Transactions on Cybernetics,IEEE Transactions on Cybernetics,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","13,561",10.387
MEDICAL IMAGE ANALYSIS,MEDICAL IMAGE ANALYSIS,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","7,694",8.88
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","15,574",8.759
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","12,841",8.508
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","4,310",7.229
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","40,201",6.79
International Journal of Neural Systems,International Journal of Neural Systems,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,035",6.4
Swarm and Evolutionary Computation,Swarm and Evolutionary Computation,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,429",6.33
IEEE Transactions on Affective Computing,IEEE Transactions on Affective Computing,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,943",6.288
INTERNATIONAL JOURNAL OF COMPUTER VISION,INTERNATIONAL JOURNAL OF COMPUTER VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","17,707",6.071
PATTERN RECOGNITION,PATTERN RECOGNITION,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","27,711",5.898
IEEE Computational Intelligence Magazine,IEEE Computational Intelligence Magazine,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,333",5.857
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","13,063",5.785
KNOWLEDGE-BASED SYSTEMS,KNOWLEDGE-BASED SYSTEMS,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","12,347",5.101
ARTIFICIAL INTELLIGENCE REVIEW,ARTIFICIAL INTELLIGENCE REVIEW,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","2,627",5.095
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGRATED COMPUTER-AIDED ENGINEERING,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",691,4.904
APPLIED SOFT COMPUTING,APPLIED SOFT COMPUTING,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","19,765",4.873
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUTING & APPLICATIONS,0941-0643,1433-3058,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","8,160",4.664
ARTIFICIAL INTELLIGENCE,ARTIFICIAL INTELLIGENCE,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","9,362",4.483
IEEE INTELLIGENT SYSTEMS,IEEE INTELLIGENT SYSTEMS,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","3,053",4.464
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","39,173",4.292
Cognitive Computation,Cognitive Computation,1866-9956,1866-9964,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,578",4.287
Fuzzy Optimization and Decision Making,Fuzzy Optimization and Decision Making,1568-4539,1573-2908,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","1,059",4.128
JOURNAL OF MACHINE LEARNING RESEARCH,JOURNAL OF MACHINE LEARNING RESEARCH,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","25,684",4.091
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,1872-8286,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","30,950",4.072
