Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2010 JIF
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",25060,5.308
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9898,5.151
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",322,4.5
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4681,4.403
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2901,4.364
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",816,4.237
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,0219-6220,1793-6845,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",534,3.139
JOURNAL OF MACHINE LEARNING RESEARCH,J MACH LEARN RES,1532-4435,N/A,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4766,2.974
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,1530-9312,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1320,2.971
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12774,2.918
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",385,2.905
Journal of Web Semantics,J WEB SEMANT,1570-8268,1873-7749,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",578,2.789
