Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2015 JIF
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",9220,6.701
International Journal of Neural Systems,INT J NEURAL SYST,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1235,6.085
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",31757,6.077
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",7999,5.908
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,1875-8835,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",533,4.981
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2246,4.943
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",12919,4.854
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4764,4.565
Information Fusion,INFORM FUSION,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1637,4.353
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",11407,4.27
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",20697,3.735
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",634,3.647
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,1530-9304,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2291,3.6
IEEE INTELLIGENT SYSTEMS,IEEE INTELL SYST,1541-1672,1941-1294,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1882,3.532
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",17442,3.399
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6641,3.333
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",4811,3.325
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",6902,3.216
EXPERT SYSTEMS WITH APPLICATIONS,EXPERT SYST APPL,0957-4174,1873-6793,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",23852,2.981
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",740,2.963
APPLIED SOFT COMPUTING,APPL SOFT COMPUT,1568-4946,1872-9681,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8176,2.857
