DOI,Título,Autores,Año,Citas,Revista
10.1109/69.846293,Load sharing in distributed multimedia-on-demand systems,Y.C. Tay and n.m. Hweehwa Pang,2000,13,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2005.141,[Inside front cover],,2005,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2011.4,[Inside front cover],,2011,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2013.94,Adaptive Database Schema Design for Multi-Tenant Data Management,Jiacai Ni and Guoliang Li and Lijun Wang and Jianhua Feng and Jun Zhang and Lei Li,2014,5,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2007.190639,[Back cover],,2007,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2007.1072,MULS: A General Framework of Providing Multilevel Service Quality in Sequential Data Broadcasting,Hao-Ping Hung and Ming-Syan Chen,2007,3,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2008.46,[Back cover],,2008,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2006.41,[Front cover],,2006,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2009.142,Conic Programming for Multitask Learning,Tsuyoshi Kato and Hisashi Kashima and Masashi Sugiyama and Kiyoshi Asai,2010,20,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2013.26,Identifying Features in Opinion Mining via Intrinsic and Extrinsic Domain Relevance,Zhen Hai and Kuiyu Chang and Jung-Jae Kim and Christopher C. Yang,2014,92,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2019.2922183,Scientific Workflow Protocol Discovery from Public Event Logs in Clouds,Wei Song and Hans-Arno Jacobsen and Fangfei Chen,2020,5,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2020.3031329,Personalized Graph Neural Networks With Attention Mechanism for Session-Aware Recommendation,Mengqi Zhang and Shu Wu and Meng Gao and Xin Jiang and Ke Xu and Liang Wang,2022,18,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2021.3111436,Incorporating Link Prediction into Multi-Relational Item Graph Modeling for Session-based Recommendation,Wen Wang and Wei Zhang and Shukai Liu and Qi Liu and Bo Zhang and Leyu Lin and Hongyuan Zha,2021,2,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2010.80,Mining Frequent Subgraph Patterns from Uncertain Graph Data,n.m. Zhaonian Zou and n.m. Jianzhong Li and n.m. Hong Gao and n.m. Shuo Zhang,2010,90,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2005.35,A flexible payment scheme and its role-based access control,n.m. Hua Wang and n.m. Jinli Cao and n.m. Yanchun Zhang,2005,92,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2011.172,Joint Top-K Spatial Keyword Query Processing,Dingming Wu and Man Lung Yiu and Gao Cong and Christian S. Jensen,2012,101,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2012.78,Computing Structural Statistics by Keywords in Databases,Lu Qin and Jeffrey Xu Yu and Lijun Chang,2012,1,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2007.190629,Join the IEEE Computer Society,,2007,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2012.19,[Cover3],,2012,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2004.5,[Inside front cover],,2004,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/69.929894,Data semantics for improving retrieval performance of digital news video systems,G. Ahanger and T.D.C. Little,2001,14,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2015.2500938,"2015 Reviewers List&lt;formula formulatype=""inline""&gt; &lt;tex Notation=""TeX""&gt;$^\ast$&lt;/tex&gt; &lt;mathgraphic graphicformat=""GIF"" fileref=""ReviewerList-ieq1-2500938.gif""/&gt; &lt;/formula&gt;",,2016,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2009.165,[Inside front cover],,2009,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2020.3004518,Embedded Transaction Support Inside SSD With Small-Capacity Non-Volatile Disk Cache,Yanjie Tan and Huailiang Tan and Peng Zhu and Youyou Lu and Zaihong He,2022,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2022.3162339,Regulating systemic crises: Stemming the contagion risk in networked-loans through deep graph learning,Dawei Cheng and Zhibin Niu and Jie Li and Changjun Jiang,2022,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2005.103,ADMiRe: an algebraic data mining approach to system performance analysis,N. Jiang and R. Villafane and K.A. Hua and A. Sawant and A. Prabhakara,2005,6,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2019.2944815,Event Detection on Microposts: A Comparison of Four Approaches,Akansha Bhardwaj and Albert Blarer and Philippe Cudre-Mauroux and Vincent Lenders and Boris Motik and Axel Tanner and Alberto Tonon,2021,3,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2010.116,TKDE Information for authors,,2010,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2015.2509976,Irregular Indeterminate Repeated Facts in Temporal Relational Databases,Paolo Terenziani,2016,9,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2000.842250,Guest Editorial Introduction to the Special Section,E. Bertino and R. Muntz and T. Rakow,2000,1,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2004.81,[Advertisement],,2004,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2008.193,Call for Papers for Special Issue on Domain-Driven Data Mining,,2008,0,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2009.110,A Game Theoretic Approach for Simultaneous Compaction and Equipartitioning of Spatial Data Sets,Upavan Gupta and Nagarajan Ranganathan,2010,22,IEEE Transactions on Knowledge and Data Engineering
10.1109/tkde.2002.1019218,Using OODB modeling to partition a vocabulary into structurally and semantically uniform concept groups,n.m. Li-min Liu and M. Halper and J. Geller and Y. Perl,2002,9,IEEE Transactions on Knowledge and Data Engineering
