Revista,JCR 2017,JCR 2018,JCR 2019,JCR 2020,JCR 2021
Journal of Web Semantics,40.0,41.0,79.0,96.0,100.0
Advances in Electrical and Computer Engineering,109.0,112.0,108.0,113.0,128.0
International Journal of Applied Mathematics and Computer Science,114.0,119.0,125.0,130.0,133.0
Frontiers in Neurorobotics,22.0,23.0,45.0,50.0,57.0
The International Arab Journal of Information Technology,114.0,119.0,125.0,129.0,132.0
IET Computer Vision,114.0,100.0,87.0,124.0,129.0
IET Image Processing,112.0,91.0,90.0,95.0,105.0
International Journal of Bio-Inspired Computation,59.0,92.0,111.0,103.0,111.0
Journal on Multimodal User Interfaces,48.0,44.0,75.0,83.0,80.0
Journal of Real-Time Image Processing,72.0,79.0,92.0,84.0,89.0
Memetic Computing,55.0,61.0,34.0,30.0,63.0
Cognitive Computation,25.0,31.0,31.0,36.0,43.0
Journal of Ambient Intelligence and Humanized Computing,65.0,64.0,62.0,47.0,42.0
International Journal of Machine Learning and Cybernetics,57.0,52.0,50.0,44.0,37.0
International Journal of Computational Intelligence Systems,110.0,119.0,125.0,130.0,133.0
Journal of Ambient Intelligence and Smart Environments,94.0,95.0,109.0,104.0,99.0
Statistical Analysis and Data Mining,98.0,93.0,100.0,122.0,122.0
Swarm Intelligence,30.0,36.0,58.0,49.0,62.0
SIAM Journal on Imaging Sciences,37.0,48.0,52.0,64.0,93.0
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,50.0,56.0,19.0,15.0,27.0
IEEE Transactions on Affective Computing,7.0,9.0,13.0,11.0,10.0
IET Biometrics,61.0,63.0,63.0,59.0,73.0
ACM Transactions on Intelligent Systems and Technology,34.0,50.0,53.0,23.0,16.0
IEEE Transactions on Neural Networks and Learning Systems,9.0,5.0,7.0,9.0,9.0
IEEE Transactions on Cybernetics,6.0,4.0,6.0,10.0,5.0
IEEE Transactions on Human-Machine Systems,35.0,34.0,48.0,61.0,65.0
Swarm and Evolutionary Computation,10.0,8.0,14.0,17.0,11.0
ACM Transactions on Asian and Low-Resource Language Information Processing,106.0,107.0,107.0,110.0,117.0
IEEE Transactions on Cognitive and Developmental Systems,90.0,88.0,68.0,63.0,73.0
Egyptian Informatics Journal,,40.0,33.0,37.0,55.0
Big Data Research,,38.0,54.0,57.0,95.0
IEEE Transactions on Games,,119.0,93.0,97.0,107.0
International Journal of Interactive Multimedia and Artificial Intelligence,,,72.0,87.0,87.0
ACM Transactions on Interactive Intelligent Systems,,,59.0,67.0,90.0
Complex &amp; Intelligent Systems,,,21.0,28.0,26.0
PeerJ Computer Science,,,18.0,82.0,86.0
Artificial Intelligence and Law,,,,71.0,58.0
Evolving Systems,,,,74.0,64.0
Journal of Artificial Intelligence and Soft Computing Research,,,,66.0,39.0
International Journal of Multimedia Information Retrieval,,,,34.0,68.0
Nature Machine Intelligence,,,,2.0,2.0
Transactions of the Association for Computational Linguistics,,,,,18.0
IEEE Transactions on Intelligent Vehicles,,,,,46.0
IEEE Transactions on Emerging Topics in Computational Intelligence,,,,,59.0
Machine Learning: Science and Technology,,,,,36.0
Advanced Intelligent Systems,,,,,41.0
