DOI,Título,Autores,Año,Citas,Revista
10.1016/s0169-023x(04)00127-2,Using Information Retrieval techniques for supporting data mining,I KOURIS and C MAKRIS and A TSAKALIDIS,2005,32,Data &amp; Knowledge Engineering
10.1016/s0169-023x(99)00031-2,Efficient indexing of high-dimensional data through dimensionality reduction,Cheng Hian Goh and Agnes Lim and Beng Chin Ooi and Kian-Lee Tan,2000,8,Data &amp; Knowledge Engineering
10.1016/j.datak.2018.09.002,Experimental identification of hard data sets for classification and feature selection methods with insights on method selection,Cuiju Luan and Guozhu Dong,2018,11,Data &amp; Knowledge Engineering
10.1016/j.datak.2003.10.005,Dynamically evolving concurrent information systems specification and validation: a component-based Petri nets proposal,Nasreddine Aoumeur and Gunter Saake,2004,3,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00022-2,"Safety, domain independence and generalized quantification",Antonio Badia,2001,2,Data &amp; Knowledge Engineering
10.1016/j.datak.2009.07.011,An optimization of ReliefF for classification in large datasets,Yue Huang and Paul J. McCullagh and Norman D. Black,2009,29,Data &amp; Knowledge Engineering
10.1016/j.datak.2005.02.006,"Interactive workflow mining—requirements, concepts and implementation",Markus Hammori and Joachim Herbst and Niko Kleiner,2006,22,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.08.003,Efficient algorithms for incremental maintenance of closed sequential patterns in large databases,Lei Chang and Tengjiao Wang and Dongqing Yang and Hua Luan and Shiwei Tang,2009,27,Data &amp; Knowledge Engineering
10.1016/j.datak.2006.04.006,From RosettaNet PIPs to BPEL processes: A three level approach for business protocols,Rania Khalaf,2007,22,Data &amp; Knowledge Engineering
10.1016/j.datak.2014.07.001,Enriching ontology mappings with semantic relations,Patrick Arnold and Erhard Rahm,2014,48,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.08.009,An unsupervised method for joint information extraction and feature mining across different Web sites,Tak-Lam Wong and Wai Lam,2009,25,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.04.001,Extracting k most important groups from data efficiently,Man Lung Yiu and Nikos Mamoulis and Vagelis Hristidis,2008,3,Data &amp; Knowledge Engineering
10.1016/j.datak.2006.06.003,DTD-Diff: A change detection algorithm for DTDs,Erwin Leonardi and Tran T. Hoai and Sourav S. Bhowmick and Sanjay Madria,2007,19,Data &amp; Knowledge Engineering
10.1016/j.datak.2004.08.002,Checking query containment with the CQC method,Carles Farré and Ernest Teniente and Toni Urpí,2005,28,Data &amp; Knowledge Engineering
10.1016/j.datak.2008.04.009,Validation of mappings between schemas,Guillem Rull and Carles Farré and Ernest Teniente and Toni Urpí,2008,12,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00016-7,Natural language analysis for semantic document modeling,Terje Brasethvik and Jon Atle Gulla,2001,15,Data &amp; Knowledge Engineering
10.1016/j.datak.2017.09.006,Constructing faceted taxonomy for heterogeneous entities based on object properties in linked data,Nansu Zong and Hong-Gee Kim and Sejin Nam,2017,1,Data &amp; Knowledge Engineering
10.1016/j.datak.2009.08.001,Editorial introduction,Zoubida Kedad and Elisabeth Métais,2010,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(00)00036-7,NLDB'99: Applications of natural language to information systems,Elisabeth Métais and Heinrich C Mayr,2000,3,Data &amp; Knowledge Engineering
10.1016/j.datak.2009.06.006,A Bayesian model for disclosure control in statistical databases,Gerardo Canfora and Bice Cavallo,2009,6,Data &amp; Knowledge Engineering
10.1016/j.datak.2009.04.007,"Context-similarity based hotlinks assignment: Model, metrics and algorithm",D. Antoniou and J. Garofalakis and C. Makris and Y. Panagis and E. Sakkopoulos,2010,5,Data &amp; Knowledge Engineering
10.1016/s0169-023x(02)00033-2,Subject index,,2002,1,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00054-4,Subject index to volume,,2001,0,Data &amp; Knowledge Engineering
10.1016/s0169-023x(01)00020-9,Author index to volume,,2001,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2009.07.001,Guest editorial for DKE special issue on “Biomedical Data Mining”,Mykola Pechenizkiy and Alexey Tsymbal,2009,0,Data &amp; Knowledge Engineering
10.1016/j.datak.2016.06.003,Question answering in conversations: Query refinement using contextual and semantic information,Maryam Habibi and Parvaz Mahdabi and Andrei Popescu-Belis,2016,6,Data &amp; Knowledge Engineering
