DOI,Título,Autores,Año,Citas,Revista
10.1007/s10489-012-0408-2,Natural language scripting within conversational agent design,Karen O’Shea,2014,2,Applied Intelligence
10.1007/s10489-021-02392-5,Meta joint optimization: a holistic framework for noisy-labeled visual recognition,Jialin Shi and Zheng Cao and Ji Wu,2022,0,Applied Intelligence
10.1007/s10489-008-0129-8,Parallel clustering of high dimensional data by integrating multi-objective genetic algorithm with divide and conquer,Tansel Özyer and Reda Alhajj,2009,23,Applied Intelligence
10.1007/s10489-019-01595-1,Superpixel via coarse-to-fine boundary shift,Xiang Wu and Yufei Chen and Xianhui Liu and Jianan Shen and Keqiang Zhuo and Weidong Zhao,2020,0,Applied Intelligence
10.1007/s10489-020-01783-4,Parallel Dual Networks for Visual Object Tracking,Tian Li and Peihan Wu and Feifei Ding and Wenyuan Yang,2020,10,Applied Intelligence
10.1007/s10489-018-1139-9,An effective method for classification with missing values,Sabit Anwar Zahin and Chowdhury Farhan Ahmed and Tahira Alam,2018,20,Applied Intelligence
10.1007/s10489-022-03798-5,Misinformation influence minimization by entity protection on multi-social networks,Peikun Ni and Jianming Zhu and Guoqing Wang,2023,1,Applied Intelligence
10.1007/s10489-023-04476-w,Correction to: Detection and localization of splicing on remote sensing images using image-to-image transformation,Rawan Alsughayer and Muhammad Hussain and Fahman Saeed and Hatim AboalSamh,2023,0,Applied Intelligence
10.1007/s10489-016-0861-4,The sparse Luce model,Jong-June Jeon and Hosik Choi,2018,0,Applied Intelligence
10.1023/b:apin.0000047382.74353.8f,Guided Cluster Discovery with Markov Model,C.H. Li,2005,2,Applied Intelligence
10.1007/s10489-012-0342-3,A new selective neural network ensemble with negative correlation,Heesung Lee and Euntai Kim and Witold Pedrycz,2012,21,Applied Intelligence
10.1007/s10489-008-0128-9,A new paradigm for real-time parallel storage and recognition of patterns based on a hierarchical organization of associative memories utilizing Walsh function encoding,Seong-Joo Han and Se-Young Oh,2009,2,Applied Intelligence
10.1007/s10489-005-2367-3,Developments in Applied Artificial Intelligence: Guest Editor’s Introduction,Tim Hendtlass,2005,0,Applied Intelligence
10.1007/s10489-006-6935-y,Meetings scheduling solver enhancement with local consistency reinforcement,Ahlem Ben Hassine and Tu Bao Ho and Takayuki Ito,2006,9,Applied Intelligence
10.1007/s10489-010-0249-9,Portable autonomous walk calibration for 4-legged robots,Boyan Bonev and Miguel Cazorla and Francisco Martín and Vicente Matellán,2012,1,Applied Intelligence
10.1007/s10489-013-0514-9,Model-based diagnosis techniques for Internet delay diagnosis with dynamic routing,Roni Stern and Meir Kalech,2014,4,Applied Intelligence
10.1007/s10489-008-0158-3,Multi-objective Genetic Algorithms for grouping problems,Emin Erkan Korkmaz,2010,19,Applied Intelligence
10.1007/s10489-016-0821-z,Learning the engagement of query processors for intelligent analytics,Kostas Kolomvatsos and Stathes Hadjiefthymiades,2017,13,Applied Intelligence
10.1023/a:1008307108914,n.m.,David B. Leake and David C. Wilson,2001,33,Applied Intelligence
10.1007/s10489-006-0022-2,A comparative study of stochastic optimization methods in electric motor design,Tea Tušar and Peter Korošec and Gregor Papa and Bogdan Filipič and Jurij Šilc,2007,31,Applied Intelligence
10.1007/s10489-017-0907-2,Evaluation of random forest classifier in security domain,Zeinab Khorshidpour and Sattar Hashemi and Ali Hamzeh,2017,13,Applied Intelligence
10.1007/s10489-021-02532-x,Finder: A novel approach of change point detection for multivariate time series,Haizhou Du and Ziyi Duan,2022,3,Applied Intelligence
10.1007/s10489-012-0383-7,An intrusion detection and alert correlation approach based on revising probabilistic classifiers using expert knowledge,Salem Benferhat and Abdelhamid Boudjelida and Karim Tabia and Habiba Drias,2013,31,Applied Intelligence
10.1007/s10489-021-03027-5,Non-dominated differential context modeling for context-aware recommendations,Yong Zheng,2022,3,Applied Intelligence
10.1007/s10489-017-1115-9,A new co-evolutionary decomposition-based algorithm for bi-level combinatorial optimization,Abir Chaabani and Slim Bechikh and Lamjed Ben Said,2018,14,Applied Intelligence
10.1007/s10489-010-0217-4,GPARS: a general-purpose activity recognition system,Jehad Sarkar and La The Vinh and Young-Koo Lee and Sungyoung Lee,2011,13,Applied Intelligence
10.1007/s10489-021-02362-x,Transfer learning of Bayesian network for measuring QoS of virtual machines,Jia Hao and Kun Yue and Binbin Zhang and Liang Duan and Xiaodong Fu,2021,4,Applied Intelligence
10.1007/s10489-007-0047-1,Achieving self-healing in service delivery software systems by means of case-based reasoning,Stefania Montani and Cosimo Anglano,2008,22,Applied Intelligence
10.1007/s10489-012-0358-8,GA-based actuator control method for minimizing power consumption in cyber physical systems,Sheng-Tzong Cheng and Jia-Shing Shih and Tun-Yu Chang,2013,6,Applied Intelligence
10.1007/s10489-022-04378-3,Cross-collection latent Beta-Liouville allocation model training with privacy protection and applications,Zhiwen Luo and Manar Amayri and Wentao Fan and Nizar Bouguila,2023,0,Applied Intelligence
10.1007/s10489-008-0115-1,Learning teaching strategies in an Adaptive and Intelligent Educational System through Reinforcement Learning,Ana Iglesias and Paloma Martínez and Ricardo Aler and Fernando Fernández,2009,43,Applied Intelligence
10.1007/s10489-010-0243-2,Constructing tree-based knowledge structures from text corpus,Sheng-Tun Li and Fu-Ching Tsai,2010,11,Applied Intelligence
10.1007/s10489-021-02914-1,A novel integrated large-scale group MCDM model under fuzzy environment for selection of reach stacker in a container terminal,Slavko Vesković and Željko Stević and Zdravko Nunić and Sanjin Milinković and Dušan Mladenović,2022,6,Applied Intelligence
10.1007/s10489-020-01958-z,Dictionary adaptation and variational mode decomposition for gyroscope signal enhancement,Krzysztof Brzostowski and Jerzy Świa̧tek,2021,3,Applied Intelligence
10.1007/s10489-023-04477-9,A general multi-factor norm based low-rank tensor completion framework,Jialue Tian and Yulian Zhu and Jiahui Liu,2023,0,Applied Intelligence
10.1007/s10489-021-02499-9,Common-possible concept analysis: A granule description viewpoint,Huilai Zhi and Jianjun Qi,2022,5,Applied Intelligence
10.1023/a:1011298804831,n.m.,Salem Benferhat and Didier Dubois and Henri Prade,2001,44,Applied Intelligence
10.1007/s10489-008-0144-9,STNR: A suffix tree based noise resilient algorithm for periodicity detection in time series databases,Faraz Rasheed and Reda Alhajj,2010,17,Applied Intelligence
10.1023/b:apin.0000011140.39317.ab,"MIGA, A Software Tool for Nonlinear System Modelling with Modular Neural Networks",Bernardo Morcego and Josep M. Fuertes and Gabriela Cembrano,2004,3,Applied Intelligence
10.1007/s10489-020-02117-0,A learning search algorithm with propagational reinforcement learning,Wei Zhang,2021,0,Applied Intelligence
10.1007/s10489-015-0663-0,A tractable multiple agents protocol and algorithm for resource allocation under price rigidities,Wei Huang and Hongbo Liu and Guangyao Dai and Ajith Abraham,2015,1,Applied Intelligence
10.1007/s10489-016-0850-7,"Comparative study of computational algorithms for the Lasso with high-dimensional, highly correlated data",Baekjin Kim and Donghyeon Yu and Joong-Ho Won,2018,2,Applied Intelligence
10.1007/s10489-014-0602-5,Multiobjective credibilistic model for COTS products selection of modular software systems under uncertainty,Mukesh Kumar Mehlawat and Pankaj Gupta,2015,6,Applied Intelligence
10.1007/s10489-007-0104-9,A generalized model for financial time series representation and prediction,Depei Bao,2008,0,Applied Intelligence
10.1007/s10489-019-01611-4,Semigroup of fuzzy automata and its application for fast accurate fault diagnosis on machine and anti-fatigue control,Qing E Wu and Mengke Guang and Hu Chen and Lijun Sun,2020,3,Applied Intelligence
10.1007/s10489-014-0605-2,Introducing randomness into greedy ensemble pruning algorithms,Qun Dai and Meiling Li,2015,14,Applied Intelligence
10.1007/s10489-022-03256-2,Bat4CEP: a bat algorithm for mining of complex event processing rules,Ralf Bruns and Jürgen Dunkel,2022,2,Applied Intelligence
10.1007/s10489-007-0083-x,Planning in highly dynamic environments: an anytime approach for planning under time constraints,O. Sapena and E. Onaindía,2008,12,Applied Intelligence
10.1007/s10489-009-0165-z,Prototype-based management of business process exception cases,Stefania Montani,2010,7,Applied Intelligence
