Revista,Citas 2004,Citas 2005,Citas 2006,Citas 2007,Citas 2008,Citas 2009,Citas 2010,Citas 2011,Citas 2012,Citas 2013,Citas 2014,Citas 2015,Citas 2016,Citas 2017,Citas 2018,Citas 2019,Citas 2020,Citas 2021,Citas 2022
Evolutionary Computation,1083,983,1036,1327,1816,2397,1992,1427,1944,2157,1887,2291,3204,2629,2900,3226,3.17,3763,3763
IEEE Transactions on Fuzzy Systems,2071,2281,2579,3166,5211,5961,4875,5441,6237,7208,8581,9220,11648,12946,15574,16974,11.039,25583,25583
Journal of Intelligent &amp; Fuzzy Systems,153,176,144,191,338,336,318,343,347,411,963,1215,2127,3841,5527,7339,,10814,10814
Journal of Computer and Systems Sciences International,44,53,18,83,64,93,127,146,177,193,287,323,362,460,450,447,0.271,542,542
Artificial Life,546,568,593,784,755,1070,816,696,715,727,593,624,921,721,869,835,0.467,782,782
Integrated Computer-Aided Engineering,53,79,80,72,154,254,304,358,421,527,516,533,632,587,691,665,3.673,891,891
Journal of Artificial Intelligence Research,946,1002,1216,1296,1766,2238,1739,1554,1638,1824,2214,2536,3309,3157,4004,4623,2.65,7528,7528
Computer Vision and Image Understanding,1348,1372,1594,1770,2548,2369,2859,2672,2952,3098,3662,3819,4829,5528,6450,5691,3.708,6562,6562
Intelligent Automation &amp; Soft Computing,63,55,70,65,93,102,76,79,,122,175,186,339,363,471,651,1.471,1307,1307
IEEE Transactions on Evolutionary Computation,1012,1226,1816,2203,3849,5038,4681,4073,5667,6461,6769,7999,11006,10682,12841,15581,10.403,20841,20841
Computing and Informatics,46,39,34,53,95,131,104,94,129,154,246,274,338,367,362,350,0.303,366,366
Medical Image Analysis,1057,1202,1412,1681,2253,2307,2901,2995,3238,3925,4058,4764,5539,6383,7694,9028,8.03,16080,16080
Neural Processing Letters,248,262,349,420,564,634,567,601,671,755,840,934,1153,1487,2140,2606,2.414,4028,4028
Journal of Heuristics,297,285,352,408,586,764,629,615,791,843,876,936,1168,1122,1187,1239,1.636,1519,1519
Data Mining and Knowledge Discovery,653,741,882,1026,1470,1822,1509,1317,1684,1717,2064,2320,3172,2876,3506,3566,3.365,5039,5039
Autonomous Agents and Multi-Agent Systems,269,336,321,364,518,551,524,419,500,560,583,746,827,756,877,849,1.216,1157,1157
Soft Computing,162,238,312,352,723,1096,1045,1185,1380,1706,1978,2517,3679,4456,6483,8859,3.039,17142,17142
Pattern Analysis and Applications,158,205,195,246,402,471,433,372,411,464,522,639,861,869,1065,1197,2.431,2099,2099
Advanced Engineering Informatics,621,904,1552,2043,3328,4132,4766,4764,6024,7000,8422,10109,15426,17586,25684,28234,3.408,47705,47705
Journal of Chemometrics,,1269,1564,1758,1973,2095,2186,2422,2658,2822,3151,3193,3171,3171,3900,3563,2.225,4544,4544
Constraints,,107,153,164,178,307,268,188,213,239,291,245,365,262,267,255,1.536,332,332
IEEE Intelligent Systems,,1065,1120,1247,1796,2214,1661,1461,1626,1648,1696,1882,2577,2638,3053,3141,3.365,4316,4316
Knowledge and Information Systems,,,214,270,550,773,727,880,,1436,1565,1559,2146,2343,3006,3242,2.701,4789,4789
International Journal of Information Technology &amp; Decision Making,,,101,145,234,322,534,,,568,669,627,742,852,1130,1248,2.087,1705,1705
Computational Linguistics,,,834,992,1286,1467,1320,920,,1200,1407,1610,2235,1864,2138,2426,2.188,2694,2694
Adaptive Behavior,,,262,335,434,543,470,395,490,453,465,485,630,583,654,607,1.769,853,853
Applied Soft Computing,,,152,267,606,1079,1206,2070,3117,4632,6210,8176,12027,14474,19765,24071,6.019,41240,41240
International Journal of Neural Systems,,,,347,493,669,816,770,992,1045,1154,1235,1503,1622,2035,1963,4.17,2891,2891
Intelligent Data Analysis,,,,286,377,526,427,381,463,477,572,637,822,772,964,1000,0.76,1544,1544
Neural Network World,,,,113,174,180,200,209,150,179,197,216,251,264,326,289,1.357,383,383
Cognitive Systems Research,,,,150,194,251,223,228,290,354,408,407,492,508,,,,2101,
IEEE Computational Intelligence Magazine,,,,36,123,283,385,313,495,488,600,634,872,980,1333,1538,11.267,2720,2720
Journal of Web Semantics,,,,328,438,651,578,498,657,651,777,815,1091,961,1162,1207,1.828,1110,1110
IET Computer Vision,,,,1,9,33,37,54,106,156,232,284,487,555,883,990,1.891,1196,1196
International Journal on Document Analysis and Recognition (IJDAR),,,,,204,311,253,181,238,303,355,342,461,506,606,518,2.064,930,930
International Journal on Semantic Web and Information Systems,,,,,78,167,123,134,166,189,247,280,366,309,311,397,0.686,357,357
Information Fusion,,,,,472,536,620,626,840,1020,1402,1637,2519,3303,4746,6409,11.907,13268,13268
Traitement du Signal,,,,,,78,49,74,64,52,50,37,72,51,,100,1.989,564,564
Genetic Programming and Evolvable Machines,,,,,,58,102,91,154,164,172,254,321,307,340,378,1.6,515,515
Information Technology and Control,,,,,,54,82,127,125,145,133,144,163,229,278,267,1.139,326,326
ACM Transactions on Autonomous and Adaptive Systems,,,,,,114,108,128,161,212,235,257,459,420,,,0.943,419,
International Journal of Fuzzy Systems,,,,,,215,207,187,284,292,410,400,777,1213,1809,2566,4.062,3795,3795
Fuzzy Optimization and Decision Making,,,,,,136,147,292,295,340,495,608,608,826,1059,1098,3.83,1393,1393
Advances in Electrical and Computer Engineering,,,,,,47,83,100,142,193,189,222,336,358,393,387,1.053,435,435
International Journal of Applied Mathematics and Computer Science,,,,,,407,418,369,562,734,778,793,1139,1120,1205,1075,1.108,1365,1365
Malaysian Journal of Computer Science,,,,,,,21,15,36,63,74,65,89,102,114,119,0.608,179,179
Turkish Journal of Electrical Engineering and Computer Sciences,,,,,,,81,91,198,291,298,388,686,927,1163,1315,0.714,2004,2004
The International Arab Journal of Information Technology,,,,,,,25,35,123,198,221,292,502,524,674,645,0.528,839,839
Journal of Real-Time Image Processing,,,,,,,106,116,159,190,275,341,553,634,1029,1053,1.958,1643,1643
Journal of Ambient Intelligence and Smart Environments,,,,,,,43,40,128,132,188,208,262,362,306,424,1.895,554,554
SIAM Journal on Imaging Sciences,,,,,,,322,595,884,1430,1731,2209,2971,3184,3806,3789,2.633,4235,4235
Natural Language Engineering,,,,,,,,145,189,205,255,266,388,345,443,556,1.0,864,864
Applied Ontology,,,,,,,,97,93,123,113,148,206,165,148,193,0.769,300,300
Cognitive Computation,,,,,,,,77,125,199,373,491,795,1049,1578,,4.064,2904,2904
Natural Computing,,,,,,,,,389,394,462,564,663,743,778,797,1.619,1181,1181
International Journal of Bio-Inspired Computation,,,,,,,,,180,191,467,312,581,590,968,948,3.621,1295,1295
Journal on Multimodal User Interfaces,,,,,,,,,42,59,105,141,197,189,306,345,1.538,535,535
Swarm Intelligence,,,,,,,,,183,257,312,339,562,568,595,591,2.036,1021,1021
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,,,,,,,,,73,114,217,297,481,547,858,1164,7.024,2821,2821
IEEE Transactions on Neural Networks and Learning Systems,,,,,,,,,9766,10778,11936,12919,16688,19867,27444,27880,9.362,49190,49190
International Journal of Computational Intelligence Systems,,,,,,,,,,288,435,392,659,974,1321,1463,1.589,2213,2213
IEEE Transactions on Affective Computing,,,,,,,,,,280,347,520,907,1333,1943,2375,10.345,4522,4522
ACM Transactions on Intelligent Systems and Technology,,,,,,,,,,1028,1540,2142,3247,3392,4028,3727,4.512,5126,5126
