Revista,ISSN,Categoria
Integrated Computer-Aided Engineering,1069-2509,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Artificial Intelligence Research,1076-9757,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Computer Vision and Image Understanding,1077-3142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Intelligent Automation &amp; Soft Computing,1079-8587,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Egyptian Informatics Journal,1110-8665,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Neural Network World,1210-0552,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
TURKISH JOURNAL OF ELECTRICAL ENGINEERING &amp; COMPUTER SCIENCES,1300-0632,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Computing and Informatics,1335-9150,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Natural Language Engineering,1351-3249,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Medical Image Analysis,1361-8415,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Neural Processing Letters,1370-4621,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Journal of Heuristics,1381-1231,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Constraints,1383-7133,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Data Mining and Knowledge Discovery,1384-5810,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Autonomous Agents and Multi-Agent Systems,1387-2532,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Cognitive Systems Research,1389-0417,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Genetic Programming and Evolvable Machines,1389-2576,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Soft Computing,1432-7643,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal on Document Analysis and Recognition (IJDAR),1433-2833,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Pattern Analysis and Applications,1433-7541,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
Advanced Engineering Informatics,1474-0346,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
IEEE Intelligent Systems,1541-1672,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal on Semantic Web and Information Systems,1552-6283,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
ACM Transactions on Autonomous and Adaptive Systems,1556-4665,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
International Journal of Fuzzy Systems,1562-2479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE"
