"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
"International Journal of System Dynamics Applications","INT J SYST DYN APPL","2160-9772","2160-9799","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","257","N/A","N/A","0.37","48.57"%,
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","2524-521X","2524-5228","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","72","N/A","N/A","0.29","13.7"%,
"IEEE Open Journal of Intelligent Transportation Systems","IEEE OPEN J INTEL TR","N/A","2687-7813","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","48","N/A","N/A","0.48","100"%,
"International Journal of Applied Metaheuristic Computing","INT J APPL METAHEUR","1947-8283","1947-8291","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","145","N/A","N/A","0.16","0"%,
"International Journal of Data Mining Modelling and Management","INT J DATA MIN MODEL","1759-1163","1759-1171","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","90","N/A","N/A","0.08","0"%,
"International Journal of Computational Intelligence and Applications","INT J COMPUT INTELL","1469-0268","1757-5885","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","551","N/A","N/A","0.25","1.2"%,
"International Journal of Innovative Computing Information and Control","INT J INNOV COMPUT I","1349-4198","1349-418X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,481","N/A","N/A","0.16","0"%,
"International Journal of Cognitive Informatics and Natural Intelligence","INT J COGN INFORM NA","1557-3958","1557-3966","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","166","N/A","N/A","0.19","64.36"%,
"Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence","INTELIGENCIA ARTIFIC","1137-3601","1988-3064","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","241","N/A","N/A","0.13","80.65"%,
"Journal of Advanced Computational Intelligence and Intelligent Informatics","J ADV COMPUT INTELL","1343-0130","1883-8014","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","513","N/A","N/A","0.08","71.96"%,
"ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal","ADCAIJ-ADV DISTRIB C","2255-2863","2255-2863","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","91","N/A","N/A","0.05","76.19"%,
"International Journal of Knowledge-Based and Intelligent Engineering Systems","INT J KNOWL-BASED IN","1327-2314","1875-8827","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","183","N/A","N/A","0.13","0"%,
"Algorithms","ALGORITHMS","N/A","1999-4893","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","2,576","N/A","N/A","0.45","97.17"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
